N,SOA,amp_t,amp_m,Acc,Acc_lo,Acc_hi,Trials
64,0,0.45,3.0,0.9166666666666666,0.646120088858883,0.9851349055950829,12
64,1,0.45,3.0,0.5833333333333334,0.31951131254954973,0.8067396863412435,12
64,0,0.45,3.2,0.6666666666666666,0.39062208887279953,0.8618799089087867,12
64,1,0.45,3.2,0.75,0.46769466506643426,0.9110583316059453,12
64,0,0.45,3.4,0.8333333333333334,0.5519691377470266,0.9530348578161463,12
64,1,0.45,3.4,0.9166666666666666,0.646120088858883,0.9851349055950829,12
64,0,0.4,3.0,0.5833333333333334,0.31951131254954973,0.8067396863412435,12
64,1,0.4,3.0,0.9166666666666666,0.646120088858883,0.9851349055950829,12
64,0,0.4,3.2,0.9166666666666666,0.646120088858883,0.9851349055950829,12
64,1,0.4,3.2,0.9166666666666666,0.646120088858883,0.9851349055950829,12
64,0,0.4,3.4,0.75,0.46769466506643426,0.9110583316059453,12
64,1,0.4,3.4,0.75,0.46769466506643426,0.9110583316059453,12
64,0,0.35,3.0,1.0,0.7575059933447592,1.0,12
64,1,0.35,3.0,0.9166666666666666,0.646120088858883,0.9851349055950829,12
64,0,0.35,3.2,0.9166666666666666,0.646120088858883,0.9851349055950829,12
64,1,0.35,3.2,0.9166666666666666,0.646120088858883,0.9851349055950829,12
64,0,0.35,3.4,0.9166666666666666,0.646120088858883,0.9851349055950829,12
64,1,0.35,3.4,0.75,0.46769466506643426,0.9110583316059453,12
