N,SOA,trial,hit,conf,lat
32,0,0,1,0.2869896507127235,
32,0,1,1,0.26009668403292113,
32,0,2,1,0.27889063051965063,
32,0,3,1,0.2811044567798077,
32,0,4,0,0.2819463689047619,
32,0,5,1,0.2717052638653375,
32,0,6,1,0.30229787625969873,
32,0,7,0,0.29636704906172334,
32,0,8,1,0.30083954255396517,
32,0,9,1,0.264240742643741,
32,0,10,1,0.3056795337731032,
32,0,11,0,0.283233123204944,
32,0,12,1,0.25476646311941653,
32,0,13,1,0.2673004939394575,
32,0,14,0,0.310313124324447,
32,0,15,1,0.3085686888783582,
32,0,16,1,0.2914807040624594,
32,0,17,1,0.32297071359506446,
32,0,18,0,0.31162274791924743,
32,0,19,1,0.2840369433829458,
32,0,20,0,0.3084525360429054,
32,0,21,1,0.2719552974547129,
32,0,22,1,0.2547936285367476,
32,0,23,1,0.27117120457039967,
32,0,24,1,0.27413509327244445,
32,0,25,1,0.30316241731609306,
32,0,26,1,0.30966381417128813,
32,0,27,1,0.317452990869268,
32,0,28,1,0.29730491212788795,
32,0,29,0,0.2636915190249421,
32,0,30,0,0.2768403220508367,
32,0,31,1,0.27789579482332377,
32,0,32,0,0.25420681878943463,
32,0,33,1,0.25833288753762446,
32,0,34,1,0.26539000699017906,
32,0,35,1,0.26340008332796194,
32,0,36,1,0.26176211610446426,
32,0,37,0,0.26245686255158235,
32,0,38,1,0.26346948389484004,
32,0,39,1,0.28481844772457865,
32,1,0,1,0.2649728678677696,
32,1,1,1,0.2556219073238718,
32,1,2,1,0.2981900806724491,
32,1,3,1,0.2928957869086313,
32,1,4,1,0.29131715666420177,
32,1,5,0,0.2622730563645304,
32,1,6,1,0.267025647103391,
32,1,7,1,0.26580156415745193,
32,1,8,0,0.2579216944430525,
32,1,9,0,0.2765525255875783,
32,1,10,0,0.27937406423547073,
32,1,11,0,0.2706501358554762,
32,1,12,1,0.2777309308664203,
32,1,13,0,0.2863006755131163,
32,1,14,1,0.2717351343943445,
32,1,15,1,0.2666469942035177,
32,1,16,1,0.2853966465423805,
32,1,17,1,0.29299062135645604,
32,1,18,1,0.2695372497370339,
32,1,19,1,0.2748386640586068,
32,1,20,0,0.27769600113853576,
32,1,21,1,0.28492685867890266,
32,1,22,1,0.3163251886148925,
