N,SOA,trial,hit,conf,lat,conf_cal
32,0,0,0,0.22828553819295586,,0.41386629324374885
32,0,1,1,0.2534746899957472,,0.42345192762635725
32,0,2,1,0.2797397149375076,,0.43285427346194083
32,0,3,1,0.27067815886514796,,0.4296705063165222
32,0,4,0,0.2414377406958079,,0.41894896137991555
32,0,5,1,0.2513235986725184,,0.42265692939241156
32,0,6,1,0.2971648657645627,,0.4388198700906701
32,0,7,0,0.2546072240300075,,0.42386885590670187
32,0,8,0,0.296057832414449,,0.4384465699724519
32,0,9,0,0.27194397820751787,,0.43011885070073624
32,0,10,1,0.31159998877703526,,0.4436229129199051
32,0,11,0,0.27163026795124967,,0.430007848268214
32,0,12,1,0.24721244431875183,,0.4211259771175231
32,0,13,0,0.24360728499530365,,0.41977058843825504
32,0,14,0,0.30744563774716316,,0.44225252291370826
32,0,15,0,0.29211942340900016,,0.43711246163450307
32,0,16,1,0.2481694063938672,,0.4214837166925513
32,0,17,1,0.24346836516686912,,0.4197181141206372
32,0,18,0,0.28533628514816234,,0.4347918245720023
32,0,19,1,0.2793556102417502,,0.43272050892902125
32,0,20,0,0.2888769674142421,,0.43600684677036644
32,0,21,0,0.24927742753421145,,0.4218968765251898
32,0,22,1,0.23990792290870794,,0.4183668476915331
32,0,23,0,0.27637342974779755,,0.431678438347195
32,0,24,1,0.26805744914251817,,0.4287384252801462
32,0,25,0,0.28347947461506423,,0.4341513390910274
32,0,26,1,0.29542547378489414,,0.43823300226949574
32,0,27,0,0.30158538060681533,,0.44030326500693256
32,0,28,1,0.3002404143148099,,0.43985314428079775
32,0,29,0,0.25767088830359064,,0.42499116788218044
32,1,0,0,0.25284435043661707,,0.42321939038265394
32,1,1,0,0.2583165373898118,,0.42522667158657595
32,1,2,1,0.28749539492264514,,0.4355337170513796
32,1,3,1,0.2964329495469997,,0.4385731448568154
32,1,4,1,0.27519467771241574,,0.43126479881427365
32,1,5,0,0.26783495964616183,,0.4286590531073208
32,1,6,1,0.2687062438748271,,0.4289696628682461
32,1,7,1,0.26791893607408657,,0.42868901581605157
32,1,8,0,0.26317806694429896,,0.4269888551620551
32,1,9,0,0.2692989643746514,,0.42918063351111874
32,1,10,0,0.28258978744748825,,0.43384363210443755
32,1,11,0,0.2601780871758206,,0.4259037318561878
32,1,12,1,0.2837897212527541,,0.4342585154923863
32,1,13,1,0.2900717723560153,,0.43641502772665014
32,1,14,1,0.2617039271555702,,0.4264565587920105
32,1,15,1,0.25899548680610746,,0.4254739448385231
32,1,16,1,0.28031994802770765,,0.43305614546561716
32,1,17,1,0.2751172128554526,,0.4312375803256484
32,1,18,1,0.2756912275370243,,0.4314391664790348
32,1,19,1,0.2573728416628432,,0.42488233544576115
32,1,20,1,0.2680292374754527,,0.42872836299860795
32,1,21,0,0.2391555696688095,,0.4180797204545288
32,1,22,0,0.3115575750713255,,0.4436089685827631
32,1,23,1,0.293063546923489,,0.43743314722437504
32,1,24,1,0.27565967126439606,,0.43142809051539305
32,1,25,0,0.2412737811832045,,0.4188866827362685
32,1,26,1,0.27317977145442945,,0.4305554106384396
32,1,27,1,0.25768612070848057,,0.4249967280175372
32,1,28,1,0.28948935127483505,,0.4362161692544204
32,1,29,0,0.2660048066673891,,0.4280046993608097
32,2,0,1,0.25638279290266985,,0.4245202766592432
32,2,1,1,0.32330043185356216,,0.4474345696385959
32,2,2,0,0.2871465534793761,,0.4354140581767012
32,2,3,0,0.24765819338819364,,0.4212927158414388
32,2,4,0,0.27784607762936836,,0.4321938142798965
32,2,5,1,0.26054157178660187,,0.4260355991468505
