N,SOA,amp_t,amp_m,Acc,Acc_lo,Acc_hi,Trials
64,0,0.3,4.0,0.3333333333333333,0.1797219032729775,0.5329368316186824,24
64,0,0.3,4.2,0.3333333333333333,0.1797219032729775,0.5329368316186824,24
64,0,0.3,4.4,0.375,0.21159367559548778,0.5729003755732572,24
64,0,0.3,4.6,0.2916666666666667,0.14914648196960875,0.49167693664496637,24
64,0,0.27,4.0,0.3333333333333333,0.1797219032729775,0.5329368316186824,24
64,0,0.27,4.2,0.3333333333333333,0.1797219032729775,0.5329368316186824,24
64,0,0.27,4.4,0.3333333333333333,0.1797219032729775,0.5329368316186824,24
64,0,0.27,4.6,0.4583333333333333,0.2789133373121098,0.6492513464108052,24
64,0,0.25,4.0,0.3333333333333333,0.1797219032729775,0.5329368316186824,24
64,0,0.25,4.2,0.25,0.11999366228595004,0.44899444005154004,24
64,0,0.25,4.4,0.20833333333333334,0.09244825352851857,0.40470453253188665,24
64,0,0.25,4.6,0.25,0.11999366228595004,0.44899444005154004,24
