N,SOA,trial,hit,conf,lat
32,0,0,0,0.23382282486631994,
32,0,1,1,0.2497599222027674,
32,0,2,1,0.28424159500592006,
32,0,3,1,0.28046342590573264,
32,0,4,0,0.25229500274173927,
32,0,5,1,0.2544086844737527,
32,0,6,1,0.2989139146335527,
32,0,7,0,0.25912575436190627,
32,0,8,0,0.296057832414449,
32,0,9,0,0.27194397820751787,
32,0,10,1,0.30995944766857764,
32,0,11,0,0.2643501583655715,
32,0,12,1,0.24721244431875183,
32,0,13,0,0.24613011907995191,
32,0,14,0,0.3041881198745253,
32,0,15,0,0.2959507696756786,
32,0,16,1,0.2605970713761132,
32,0,17,1,0.24346836516686912,
32,0,18,0,0.28646248792754375,
32,0,19,1,0.2766867814724241,
32,0,20,0,0.3049184757004136,
32,0,21,0,0.262828102660113,
32,0,22,1,0.2518422459356582,
32,0,23,0,0.2631228739967684,
32,0,24,1,0.26805744914251817,
32,0,25,1,0.29242200064549767,
32,0,26,1,0.31170806909298204,
32,0,27,0,0.3123042638218658,
32,0,28,1,0.2959733996211562,
32,0,29,0,0.2688121555102004,
32,0,30,0,0.2846981811147329,
32,0,31,1,0.2670532262666462,
32,0,32,0,0.2574985161982006,
32,0,33,0,0.24975729280401346,
32,0,34,1,0.267013433466627,
32,0,35,0,0.25655621994467326,
32,0,36,0,0.2505070672602968,
32,0,37,0,0.2683550806063757,
32,0,38,0,0.25436401162690253,
32,0,39,1,0.2646834338654162,
64,0,0,1,0.2709886792114455,
64,0,1,0,0.2560507309379787,
64,0,2,1,0.23990896539127993,
64,0,3,0,0.24451768216088202,
64,0,4,1,0.23390073773163256,
64,0,5,1,0.25129402537842793,
64,0,6,1,0.25276041318140247,
64,0,7,1,0.2596595826657705,
64,0,8,0,0.24637417375228388,
64,0,9,1,0.24147022936807752,
64,0,10,0,0.22973921430965835,
64,0,11,0,0.2486468832195478,
64,0,12,0,0.2761291104736044,
64,0,13,0,0.23511923307454644,
64,0,14,1,0.2490593079988656,
64,0,15,1,0.2384771465380068,
64,0,16,1,0.24076244355394086,
64,0,17,1,0.2308140684400728,
64,0,18,1,0.23490190401665278,
64,0,19,0,0.27322037352421896,
64,0,20,0,0.24970371519404058,
64,0,21,0,0.2436938627114169,
64,0,22,1,0.2395621730614031,
64,0,23,1,0.2455956297913829,
64,0,24,1,0.26194962913081715,
64,0,25,1,0.2787601699157207,
64,0,26,1,0.24540073521453004,
64,0,27,1,0.2641680366266405,
64,0,28,1,0.2444381732488212,
64,0,29,0,0.23080404071583793,
64,0,30,0,0.23685973549051642,
64,0,31,0,0.27165293073810637,
64,0,32,1,0.2411353383233874,
64,0,33,1,0.2321107787108317,
64,0,34,0,0.2275886938904413,
64,0,35,1,0.23444895104453253,
64,0,36,0,0.24996408041825685,
64,0,37,1,0.23039295631065565,
64,0,38,1,0.2514272799939414,
64,0,39,0,0.26207805635016407,
128,0,0,1,0.22897479739129198,
128,0,1,1,0.2325787984353823,
128,0,2,1,0.23041614594082985,
128,0,3,0,0.22733155156380094,
128,0,4,1,0.22963493981990743,
128,0,5,1,0.25587110498747234,
128,0,6,0,0.22866524222048257,
128,0,7,1,0.23361912360724818,
128,0,8,0,0.23002531028920886,
128,0,9,1,0.24276529650611858,
128,0,10,1,0.23868542125316144,
128,0,11,1,0.24956559605162623,
128,0,12,1,0.2449194181744381,
128,0,13,1,0.22748482222731103,
128,0,14,1,0.22156206017440502,
128,0,15,1,0.24215246635279689,
128,0,16,1,0.23925402320158734,
128,0,17,1,0.2302221622400737,
128,0,18,1,0.23831296724600404,
128,0,19,0,0.26145343457983766,
128,0,20,0,0.22844708403575786,
128,0,21,0,0.24217867031725618,
128,0,22,1,0.2316271455960971,
128,0,23,1,0.22776522058013898,
128,0,24,0,0.2318530171596968,
128,0,25,1,0.2313120004931484,
128,0,26,1,0.23695945947668326,
128,0,27,0,0.23083187100910066,
128,0,28,1,0.21874084302118205,
128,0,29,0,0.2571459308098898,
128,0,30,1,0.2346560222542983,
128,0,31,0,0.2264629039181542,
128,0,32,0,0.23658332859564143,
128,0,33,1,0.22226252169419664,
128,0,34,1,0.2508477861436745,
128,0,35,0,0.23989239710688523,
128,0,36,1,0.22836541955916792,
128,0,37,1,0.23194600644747984,
128,0,38,1,0.2366044881440638,
128,0,39,0,0.2598434317474058,
256,0,0,0,0.22143230063909805,
256,0,1,1,0.22432987690140999,
256,0,2,0,0.21430623243985095,
256,0,3,1,0.22822689034213584,
256,0,4,1,0.22935005719267573,
256,0,5,0,0.22426065481326754,
256,0,6,1,0.23222335529325355,
256,0,7,0,0.2110225419499086,
256,0,8,1,0.2129950869542066,
256,0,9,1,0.2193790511263909,
256,0,10,1,0.22224752747991097,
256,0,11,1,0.2181997629425987,
256,0,12,0,0.21607549616934785,
256,0,13,1,0.22894174603230483,
256,0,14,0,0.22182323319803918,
256,0,15,1,0.23984213016306297,
256,0,16,0,0.23398882407704485,
256,0,17,1,0.21520898015301254,
256,0,18,1,0.226865035480196,
256,0,19,0,0.21892820086959758,
256,0,20,0,0.21808238130533655,
256,0,21,1,0.22542054063943823,
256,0,22,0,0.2387781135791989,
256,0,23,1,0.22966834239374,
256,0,24,1,0.2166477380852102,
256,0,25,0,0.23281428169286872,
256,0,26,1,0.2239692081834223,
256,0,27,1,0.22581964253968156,
256,0,28,0,0.2183252862425999,
256,0,29,1,0.23055643872581283,
256,0,30,1,0.21827222928220338,
256,0,31,1,0.22564686876694315,
256,0,32,0,0.22245687082956558,
256,0,33,1,0.23940207480288156,
256,0,34,1,0.21774627695408225,
256,0,35,0,0.2505063799571458,
256,0,36,0,0.2254252372676435,
256,0,37,1,0.2192960889915518,
256,0,38,1,0.21875028393730847,
256,0,39,0,0.21973904243542958,
