N,SOA,trial,hit,conf,lat,conf_cal
32,0,0,1,0.29755062388058595,,0.4693602619719593
32,0,1,1,0.26165591862605736,,0.4630183875574699
32,0,2,1,0.2797397149375076,,0.4662743913928074
32,0,3,1,0.2762057673426741,,0.46564845059287274
32,0,4,0,0.29167241396303917,,0.4683539524148853
32,0,5,1,0.2647599714467668,,0.4635869592087264
32,0,6,1,0.3038708923541211,,0.47042982480747325
32,0,7,0,0.2802436230481669,,0.4663632573857155
32,1,0,1,0.25284435043661707,,0.4613806658548511
32,1,1,1,0.2583165373898118,,0.4624019344660007
32,1,2,1,0.28749539492264514,,0.46763177562508584
32,1,3,1,0.2964329495469997,,0.4691697998240873
32,1,4,1,0.27519467771241574,,0.46546847610553266
32,1,5,0,0.26783495964616183,,0.4641461087627721
32,1,6,1,0.27665872482691595,,0.4657289479506345
32,1,7,1,0.27432910628462176,,0.46531408498873983
32,2,0,1,0.26399754268380365,,0.4634476941023015
32,2,1,1,0.32330043185356216,,0.4736442582823965
32,2,2,0,0.30145644976047975,,0.4700227115199142
32,2,3,0,0.2536182929493686,,0.46152596348593133
32,2,4,1,0.2809017956861686,,0.46647918488016726
32,2,5,1,0.26054157178660187,,0.46281323542233066
32,2,6,1,0.3107414309188047,,0.4715786940170542
32,2,7,0,0.27072620861801894,,0.46466822667740226
32,3,0,1,0.27966477380595967,,0.46626116708278353
32,3,1,1,0.2718281120432655,,0.4648663102827359
32,3,2,1,0.28159164786423746,,0.46660051862011764
32,3,3,1,0.2572508190264467,,0.4622041358289643
32,3,4,0,0.2746897940203339,,0.46537845641936804
32,3,5,1,0.28481175216651894,,0.4671645628092282
32,3,6,1,0.26290686913268463,,0.46324803253842656
32,3,7,1,0.27936945023521853,,0.4662090328475078
32,4,0,0,0.31046647921701165,,0.471532983634661
32,4,1,0,0.27232866084104507,,0.46495612876023046
32,4,2,1,0.2645722017757161,,0.46355268457002835
32,4,3,1,0.2577687419596896,,0.46230032814488586
32,4,4,1,0.28744713792701215,,0.467623396839388
32,4,5,1,0.2795200056708548,,0.46623561490900695
32,4,6,1,0.2807967852450325,,0.4664606996969943
32,4,7,0,0.25300964714402896,,0.4614117222731889
64,0,0,1,0.2666906050088494,,0.4639384910289984
64,0,1,0,0.25691522260668853,,0.4621417403948236
64,0,2,1,0.24358876179183075,,0.4596201401262848
64,0,3,0,0.2572648081535887,,0.46220673561357306
64,0,4,1,0.28834382963131294,,0.46777895426641913
64,0,5,1,0.2551263419187271,,0.4618082605481485
64,0,6,1,0.25023209899610704,,0.46088811134894125
64,0,7,1,0.26162426739936984,,0.46301256816855524
64,1,0,1,0.2501627758080655,,0.46087499465970133
64,1,1,0,0.2642373555740303,,0.4634915254167895
64,1,2,1,0.28244022662611373,,0.46674952758202903
64,1,3,1,0.2531892057843055,,0.46144544340338944
64,1,4,0,0.252237526732815,,0.46126654130495043
64,1,5,1,0.2687369825819324,,0.46430937328343413
64,1,6,0,0.2792498888608956,,0.4661879169835157
64,1,7,1,0.2548845753874336,,0.4617630758583491
64,2,0,1,0.2561130970032247,,0.4619923943540864
64,2,1,1,0.2656153395095794,,0.46374290224068276
64,2,2,1,0.24655357498625705,,0.4601887879240075
64,2,3,1,0.23746325474792934,,0.4584305404972688
64,2,4,1,0.2681753996343032,,0.4642077677428519
64,2,5,1,0.2853080908811037,,0.4672511676842637
64,2,6,0,0.2706102678150202,,0.4646473558072658
64,2,7,1,0.2650820663266953,,0.4636457175698191
64,3,0,1,0.24618978990463256,,0.46011925796062725
64,3,1,1,0.24324535177763035,,0.45955397929552805
64,3,2,1,0.24472355004469995,,0.4598383283094356
64,3,3,0,0.2507789044145639,,0.4609914899525125
64,3,4,0,0.23636610329154664,,0.4582153039019055
64,3,5,1,0.2548994960094513,,0.46176586522942975
64,3,6,0,0.2418041567669913,,0.45927564269721977
64,3,7,1,0.2353385397166678,,0.4580131066415954
64,4,0,1,0.24844571071098062,,0.4605493479356964
64,4,1,1,0.2876450387257909,,0.46765775282512984
64,4,2,0,0.24653718892725393,,0.4601856575212363
64,4,3,1,0.25674252933049624,,0.4621096122509829
64,4,4,1,0.24861374746109763,,0.4605812814114819
64,4,5,1,0.234284254643096,,0.4578050295317999
64,4,6,1,0.2582344461072253,,0.4623867167485106
64,4,7,1,0.2517953672774107,,0.46118327289116623
