N,SOA,trial,hit,conf,lat,conf_cal
32,1,0,1,0.2649728678677696,,0.4276345855464181
32,1,1,1,0.2556219073238718,,0.42424145465543783
32,1,2,1,0.2981900806724491,,0.43916492670058377
32,1,3,1,0.2928957869086313,,0.4373762055052055
32,1,4,1,0.29131715666420177,,0.43683952253992303
32,1,5,0,0.2622730563645304,,0.426662273605361
32,2,0,1,0.26218500018375657,,0.4266304624021917
32,2,1,1,0.3077962264254207,,0.44236853140669113
32,2,2,0,0.2918438642069614,,0.43701875911958715
32,2,3,1,0.26301586930451226,,0.4269303731458036
32,2,4,0,0.2771393379985778,,0.431946672174285
32,2,5,1,0.2601628319755498,,0.4258981950967132
32,3,0,1,0.271162855272304,,0.4298423239979157
32,3,1,1,0.27539514326385706,,0.43133521539240743
32,3,2,1,0.29155004030225296,,0.4369187934242455
32,3,3,1,0.27727307496335096,,0.43199346625675444
32,3,4,0,0.27526654239157244,,0.43129004571459695
32,3,5,0,0.2673682923706553,,0.42849244753425925
32,4,0,0,0.31179837609507155,,0.44368812403044333
32,4,1,0,0.29692550871659984,,0.43873921939304517
32,4,2,1,0.2789832340332578,,0.432590730657567
32,4,3,1,0.2542051367000375,,0.4237209602977866
32,4,4,1,0.29539602821376987,,0.4382230516562401
32,4,5,1,0.27140911228892456,,0.4299295510316715
32,6,0,1,0.3206445515084806,,0.44657533912703073
32,6,1,1,0.24609927391299696,,0.420708774820727
32,6,2,0,0.2645761606199719,,0.4274920794922249
32,6,3,1,0.2399571879133858,,0.4183856295397408
32,6,4,1,0.26217195317161834,,0.4266257485004054
32,6,5,0,0.26329490028427543,,0.42703096752647146
32,8,0,1,0.28112837190035894,,0.43333702074656305
32,8,1,0,0.2519499443721154,,0.42288883621482526
32,8,2,0,0.2756531683656084,,0.43142580796820446
32,8,3,1,0.26988898046222093,,0.4293903760573462
32,8,4,0,0.2620607359785135,,0.4265855599898746
32,8,5,1,0.264749635107229,,0.4275544107121583
64,1,0,1,0.2651597594906482,,0.4277016780394529
64,1,1,0,0.2524395823713961,,0.4230698839632927
64,1,2,1,0.2680487988217402,,0.4287353400272755
64,1,3,1,0.2576125769062285,,0.4249698812366761
64,1,4,0,0.2700440414832145,,0.4294454543180435
64,1,5,1,0.2696496058515089,,0.42930531354512586
64,2,0,0,0.26372031713517774,,0.42718421581984944
64,2,1,1,0.24951520969358718,,0.42198539510773236
64,2,2,1,0.24789392330566723,,0.4213808198036832
64,2,3,1,0.23073005625266912,,0.4148247371981903
64,2,4,1,0.26061208827597765,,0.42606116898590224
64,2,5,1,0.2751900772369368,,0.4312631824864566
64,3,0,1,0.25258180874354486,,0.42312243361579993
64,3,1,1,0.24218518078652143,,0.41923253829452845
64,3,2,1,0.2426858976222368,,0.4194222058096099
64,3,3,1,0.2516913587667637,,0.422793136238753
64,3,4,0,0.24792669903520306,,0.42139306566685236
64,3,5,1,0.25148727094865664,,0.42271756336921407
64,4,0,1,0.24589735654995842,,0.42063297485696743
64,4,1,0,0.28202767033994214,,0.4336489420691173
64,4,2,0,0.2539972776794656,,0.4236444505788598
64,4,3,1,0.26113306262144365,,0.4262499520339554
64,4,4,1,0.24816394598145447,,0.42148167782755913
64,4,5,1,0.2346665249398581,,0.41635466104494556
64,6,0,1,0.25135766164785284,,0.42266955031958403
64,6,1,1,0.25723889099516695,,0.424833398595611
64,6,2,1,0.24631320920430544,,0.42078904471155365
64,6,3,1,0.25140103282313625,,0.4226856185993982
64,6,4,0,0.24769492696175327,,0.42130644836838765
64,6,5,0,0.24479238568243875,,0.4202174891776792
64,8,0,0,0.27146743905032517,,0.4299502043943177
64,8,1,1,0.25851900007342227,,0.4253004487880427
64,8,2,1,0.2607041541064695,,0.4260945466402345
64,8,3,1,0.2532286991771624,,0.42336122115663444
64,8,4,0,0.26390483705251333,,0.4272506405939759
64,8,5,1,0.2599545313013303,,0.42582257473179014
