N,SOA,trial,hit,conf,lat
32,1,0,1,0.2649728678677696,
32,1,1,1,0.2556219073238718,
32,1,2,1,0.2981900806724491,
32,1,3,1,0.2928957869086313,
32,1,4,1,0.29131715666420177,
32,1,5,0,0.2622730563645304,
32,1,6,1,0.267025647103391,
32,1,7,1,0.26580156415745193,
32,1,8,0,0.2579216944430525,
32,1,9,0,0.2765525255875783,
32,1,10,0,0.27937406423547073,
32,1,11,0,0.2706501358554762,
32,2,0,1,0.26218500018375657,
32,2,1,1,0.3077962264254207,
32,2,2,0,0.2918438642069614,
32,2,3,1,0.26301586930451226,
32,2,4,0,0.2771393379985778,
32,2,5,1,0.2601628319755498,
32,2,6,1,0.32327367316750194,
32,2,7,1,0.27693403665031957,
32,2,8,1,0.31506860529634334,
32,2,9,1,0.2938157245468549,
32,2,10,1,0.26629443558997457,
32,2,11,1,0.2693347562422088,
32,3,0,1,0.271162855272304,
32,3,1,1,0.27539514326385706,
32,3,2,1,0.29155004030225296,
32,3,3,1,0.27727307496335096,
32,3,4,0,0.27526654239157244,
32,3,5,0,0.2673682923706553,
32,3,6,0,0.2554072392024516,
32,3,7,0,0.28424332085052084,
32,3,8,1,0.3019943558706288,
32,3,9,1,0.2746163098006288,
32,3,10,0,0.2591166798841484,
32,3,11,1,0.2933719456016119,
32,4,0,0,0.31179837609507155,
32,4,1,0,0.29692550871659984,
32,4,2,1,0.2789832340332578,
32,4,3,1,0.2542051367000375,
32,4,4,1,0.29539602821376987,
32,4,5,1,0.27140911228892456,
32,4,6,1,0.26782432736816597,
32,4,7,1,0.24824288256660612,
32,4,8,1,0.27128822162709176,
32,4,9,0,0.26943584424190764,
32,4,10,1,0.30953546165479,
32,4,11,1,0.24090384288669103,
32,6,0,1,0.3206445515084806,
32,6,1,1,0.24609927391299696,
32,6,2,0,0.2645761606199719,
32,6,3,1,0.2399571879133858,
32,6,4,1,0.26217195317161834,
32,6,5,0,0.26329490028427543,
32,6,6,1,0.31986795230251136,
32,6,7,0,0.2432871311129852,
32,6,8,1,0.2595676805025436,
32,6,9,1,0.27444336065493335,
32,6,10,1,0.30296097002667455,
32,6,11,1,0.28222572322744355,
32,8,0,1,0.28112837190035894,
32,8,1,0,0.2519499443721154,
32,8,2,0,0.2756531683656084,
32,8,3,1,0.26988898046222093,
32,8,4,0,0.2620607359785135,
32,8,5,1,0.264749635107229,
32,8,6,0,0.2825990862423141,
32,8,7,1,0.284816942396397,
32,8,8,0,0.25815835074137056,
32,8,9,1,0.26573754919869125,
32,8,10,0,0.307878962573472,
32,8,11,1,0.2936213793779028,
64,1,0,1,0.2651597594906482,
64,1,1,0,0.2524395823713961,
64,1,2,1,0.2680487988217402,
64,1,3,1,0.2576125769062285,
64,1,4,0,0.2700440414832145,
64,1,5,1,0.2696496058515089,
64,1,6,0,0.28057047736611584,
64,1,7,0,0.25599357367043374,
64,1,8,1,0.26582121866631775,
64,1,9,1,0.2423482950835112,
64,1,10,0,0.2546486833941382,
64,1,11,1,0.2758385415108966,
64,2,0,0,0.26372031713517774,
64,2,1,1,0.24951520969358718,
64,2,2,1,0.24789392330566723,
64,2,3,1,0.23073005625266912,
64,2,4,1,0.26061208827597765,
64,2,5,1,0.2751900772369368,
64,2,6,0,0.27347583586605556,
64,2,7,1,0.2649844309309338,
64,2,8,0,0.268858054941393,
64,2,9,1,0.2591923205983057,
64,2,10,1,0.2586694693821209,
64,2,11,0,0.2627930826028099,
64,3,0,1,0.25258180874354486,
64,3,1,1,0.24218518078652143,
64,3,2,1,0.2426858976222368,
64,3,3,1,0.2516913587667637,
64,3,4,0,0.24792669903520306,
64,3,5,1,0.25148727094865664,
64,3,6,0,0.2419994649587796,
64,3,7,1,0.24378090193219532,
64,3,8,0,0.2682698912883513,
64,3,9,0,0.2566986682553861,
64,3,10,0,0.27440925764301116,
64,3,11,0,0.2785130432916899,
64,4,0,1,0.24589735654995842,
64,4,1,0,0.28202767033994214,
64,4,2,0,0.2539972776794656,
64,4,3,1,0.26113306262144365,
64,4,4,1,0.24816394598145447,
64,4,5,1,0.2346665249398581,
64,4,6,1,0.2528843183982824,
64,4,7,1,0.23656042337623734,
64,4,8,1,0.240896045840645,
64,4,9,1,0.23655729138244488,
64,4,10,1,0.2451163135085914,
64,4,11,1,0.25123914134201497,
64,6,0,1,0.25135766164785284,
64,6,1,1,0.25723889099516695,
64,6,2,1,0.24631320920430544,
64,6,3,1,0.25140103282313625,
64,6,4,0,0.24769492696175327,
64,6,5,0,0.24479238568243875,
64,6,6,1,0.23642848510941936,
64,6,7,1,0.26048671483859454,
64,6,8,1,0.2711605279632862,
64,6,9,1,0.2599571454614538,
64,6,10,1,0.2620846524665045,
64,6,11,0,0.2511828622668027,
64,8,0,0,0.27146743905032517,
64,8,1,1,0.25851900007342227,
64,8,2,1,0.2607041541064695,
64,8,3,1,0.2532286991771624,
64,8,4,0,0.26390483705251333,
64,8,5,1,0.2599545313013303,
64,8,6,0,0.26778324488345046,
64,8,7,1,0.27615724338242764,
64,8,8,1,0.24762240857228127,
64,8,9,1,0.2551501381663332,
64,8,10,1,0.26828453965240817,
64,8,11,0,0.26571577938720514,
