N,SOA,trial,hit,conf,lat,conf_cal
32,0,0,1,0.2869896507127235,,0.4353602118672994
32,0,1,1,0.26009668403292113,,0.4258741849810171
32,0,2,1,0.27761431985491036,,0.43211280912320765
32,0,3,1,0.2776093653582939,,0.432111076987596
32,0,4,0,0.2819463689047619,,0.4336207654125942
32,0,5,1,0.2717052638653375,,0.43003439129636495
32,0,6,1,0.3011224732952668,,0.4401484616543382
32,0,7,0,0.2935764533656009,,0.43760713179584065
32,0,8,1,0.29454148558236626,,0.437934044148865
32,0,9,1,0.264240742643741,,0.42737149254001
32,0,10,1,0.30924389787054296,,0.44284685242199656
32,0,11,0,0.27713378127155613,,0.43194472762057645
32,0,12,1,0.25476646311941653,,0.4239273884151385
32,0,13,1,0.2617191964044392,,0.42646208137803937
32,0,14,0,0.3055524979433576,,0.44162492230035594
32,0,15,1,0.3085686888783582,,0.4426238999457044
32,0,16,1,0.2914807040624594,,0.43689519573485874
32,0,17,1,0.32297071359506446,,0.4473280837822505
32,0,18,0,0.31162274791924743,,0.44363039504233204
32,0,19,1,0.2840369433829458,,0.4343438734922628
32,0,20,0,0.2982168271173273,,0.43917392039035363
32,0,21,1,0.2719552974547129,,0.43012285450517684
32,0,22,1,0.2547936285367476,,0.42393737158601613
32,0,23,1,0.27728609690544176,,0.43199802190889147
32,0,24,1,0.2886054321107137,,0.43591395472840533
32,1,0,1,0.25907976216790274,,0.42550461106497134
32,1,1,1,0.2541118177489772,,0.42368661567413485
32,1,2,1,0.29712409744363905,,0.43880613573971367
32,1,3,1,0.2940963025469063,,0.4377833059019786
32,1,4,1,0.29131715666420177,,0.43683952253992303
32,1,5,0,0.26476893924599776,,0.4275613454194088
32,1,6,1,0.2703153115166321,,0.4295417667596236
32,1,7,1,0.26580156415745193,,0.4279318708658047
32,1,8,0,0.2579216944430525,,0.42508269230009904
32,1,9,0,0.2766364451444526,,0.43177059789213507
32,1,10,0,0.27885787962016717,,0.43254702110387216
32,1,11,0,0.26937675411579043,,0.4292083018167395
32,1,12,1,0.2832325198323963,,0.4340659809330381
32,1,13,0,0.2863006755131163,,0.4351235770573289
32,1,14,1,0.2653945338736866,,0.42778592098195684
32,1,15,1,0.2692583884343071,,0.4291661996072585
32,1,16,1,0.2853966465423805,,0.434812607038554
32,1,17,1,0.29299062135645604,,0.43740839670438425
