N,SOA,Acc,Acc_lo,Acc_hi,Conf_mean,Conf_lo,Conf_hi,IgnLat_mean,IgnLat_lo,IgnLat_hi,Trials
32,1,0.875,0.5291118177871464,0.9775825085499433,0.2747622583827871,0.26478010513698846,0.2865939019987397,,,,8
32,2,0.75,0.40927543031016883,0.9285207872478909,0.282793854989075,0.2679986871395874,0.2999175100255795,,,,8
32,3,0.5,0.21521606221387757,0.7847839377861224,0.27470831357712067,0.2673998076743019,0.2813117099767749,,,,8
32,4,0.75,0.40927543031016883,0.9285207872478909,0.27809807574780415,0.2633227702250979,0.2927822345453255,,,,8
32,6,0.625,0.30574239460262737,0.8631557141764026,0.2699873888532782,0.2504686178587783,0.29011672574770386,,,,8
32,8,0.5,0.21521606221387757,0.7847839377861224,0.2716058581030947,0.2643641516598967,0.27881821083428393,,,,8
64,1,0.5,0.21521606221387757,0.7847839377861224,0.2649398019951607,0.2590796308604027,0.27076242639528214,,,,8
64,2,0.75,0.40927543031016883,0.9285207872478909,0.2582652423371256,0.2482071849238522,0.26736436606358716,,,,8
64,3,0.75,0.40927543031016883,0.9285207872478909,0.24679232284923766,0.2438690660727216,0.24977172263688505,,,,8
64,4,0.75,0.40927543031016883,0.9285207872478909,0.2519163224858303,0.24292459940516897,0.2622574422079928,,,,8
64,6,0.75,0.40927543031016883,0.9285207872478909,0.24946416340783342,0.2446373412927705,0.2542487693135474,,,,8
64,8,0.625,0.30574239460262737,0.8631557141764026,0.26396489362838765,0.2594241262485979,0.2687633361676327,,,,8
