N,SOA,Acc,Acc_lo,Acc_hi,Conf_mean,Conf_lo,Conf_hi,IgnLat_mean,IgnLat_lo,IgnLat_hi,Trials
32,1,0.725,0.6185594135898548,0.810822428119158,0.28188148941773306,0.27832412704036946,0.28516917650853424,,,,80
32,2,0.8375,0.7415709565930229,0.9025018059704963,0.2819743882330789,0.2777780517071401,0.2863658769444155,,,,80
32,3,0.7,0.5923184607866026,0.7893542873991866,0.2822109055965175,0.27814202033836266,0.2865807833639008,,,,80
32,4,0.6375,0.5281079450222215,0.7342920693555084,0.2806622309067509,0.2761430375095222,0.2854382160123026,,,,80
32,6,0.65,0.5408000664880767,0.7454544946512652,0.27465134574158384,0.27056935802145604,0.27925989198704365,,,,80
32,8,0.6,0.4904546500516039,0.7003817240412906,0.2765912022820244,0.2719116620128295,0.2809705226842701,,,,80
64,1,0.7875,0.6857784426940333,0.8628761328230384,0.25863932214408886,0.2555543504081557,0.26171778671703033,,,,80
64,2,0.75,0.6451532538076602,0.8319376814245761,0.26122080823289806,0.25815911726383384,0.2640983228024502,,,,80
64,3,0.7125,0.6053965378701002,0.8001307570773007,0.25814535274724204,0.2553050289823396,0.26095432507447625,,,,80
64,4,0.75,0.6451532538076602,0.8319376814245761,0.25519873614993704,0.25208744850813863,0.25824253562903426,,,,80
64,6,0.625,0.5154872546314301,0.7230582129846882,0.2526103827021229,0.24940122511751783,0.25627833665860383,,,,80
64,8,0.6625,0.5535652339817697,0.756543873919184,0.25902815721361316,0.2561916221359842,0.26224633552137866,,,,80
128,1,0.8875,0.7998178190762713,0.9396731305336952,0.2419185117835128,0.24007085849386423,0.2440186743438801,,,,80
128,2,0.7375,0.6318104033557184,0.8214259851149064,0.23887901341547463,0.2369777028003359,0.24079364822817967,,,,80
128,3,0.8125,0.7134167737100688,0.8829468953302267,0.2400996113271749,0.23777648177369626,0.24255582326726785,,,,80
128,4,0.675,0.5664052731061473,0.7675583815564182,0.23849443498649153,0.23656293236628892,0.24045961349403536,,,,80
128,6,0.6375,0.5281079450222215,0.7342920693555084,0.23993008999426113,0.23776641794297243,0.24225357090710642,,,,80
128,8,0.525,0.41695642649729936,0.6307526670259243,0.2370927415851077,0.23479332978659817,0.2394565195044472,,,,80
256,1,0.75,0.6451532538076602,0.8319376814245761,0.22828745289723487,0.22659243382478667,0.2297297694326237,,,,80
256,2,0.85,0.7558677143867665,0.9120595949383645,0.22805941247271347,0.22665174554004874,0.22962104717297419,,,,80
256,3,0.8125,0.7134167737100688,0.8829468953302267,0.2277883300868396,0.2266131503187089,0.22882635719297081,,,,80
256,4,0.7125,0.6053965378701002,0.8001307570773007,0.22789584108174657,0.22648482326322839,0.2293591166274216,,,,80
256,6,0.6625,0.5535652339817697,0.756543873919184,0.22537309422395096,0.22416027253500154,0.22657192752244285,,,,80
256,8,0.5625,0.4534113429694972,0.6658613908385618,0.2258971734406337,0.2245191061160488,0.22729013590107192,,,,80
