N,SOA,trial,hit,conf,lat,sync
128,0,0,0,0.22798499582359755,4,0.7272727272727273
128,0,1,0,0.2167399925412413,3,0.6363636363636364
128,0,2,0,0.22392394735385127,5,0.6363636363636364
128,0,3,0,0.212107638456938,5,0.5454545454545454
128,0,4,0,0.2311688072300096,9,0.6363636363636364
128,0,5,1,0.24934328204922077,0,0.7272727272727273
128,0,6,0,0.23030000240878265,4,0.5454545454545454
128,0,7,1,0.2179716956081278,3,0.5454545454545454
128,0,8,0,0.22060866058898787,4,0.6363636363636364
128,0,9,0,0.22651443685807754,6,0.5454545454545454
128,0,10,0,0.23304591484639772,0,0.7272727272727273
128,0,11,1,0.2361895773437474,0,0.7272727272727273
128,0,12,0,0.22477608862092438,4,0.7272727272727273
128,0,13,0,0.2293801765125958,3,0.6363636363636364
128,0,14,0,0.21837610260415233,3,0.6363636363636364
128,0,15,0,0.2381368385002625,2,0.7272727272727273
128,0,16,1,0.2281826266484037,7,0.7272727272727273
128,0,17,1,0.22086413869359858,4,0.7272727272727273
128,0,18,0,0.24065210965449715,0,0.5454545454545454
128,0,19,0,0.22494780600212644,3,0.6363636363636364
128,0,20,0,0.21816560605144283,4,0.6363636363636364
128,0,21,0,0.23075299863728102,3,0.6363636363636364
128,0,22,1,0.2188035949936788,3,0.5454545454545454
128,0,23,0,0.23561445576258455,0,0.6363636363636364
128,0,24,0,0.23050611581760624,0,0.6363636363636364
128,0,25,0,0.22519106459364185,6,0.6363636363636364
128,0,26,1,0.23864266334606277,0,0.7272727272727273
128,0,27,0,0.23952675792201647,0,0.6363636363636364
128,0,28,0,0.21465724772032882,12,0.7272727272727273
128,0,29,0,0.26262417464533927,0,0.6363636363636364
128,0,30,0,0.22257746061428504,4,0.6363636363636364
128,0,31,0,0.2244293994351535,3,0.6363636363636364
128,0,32,0,0.2256047478076582,9,0.6363636363636364
128,0,33,0,0.22193523529873005,5,0.5454545454545454
128,0,34,0,0.22709615026196933,3,0.5454545454545454
128,0,35,0,0.22142866185322616,3,0.6363636363636364
128,0,36,0,0.2278102926443203,4,0.6363636363636364
128,0,37,0,0.21769909116032385,4,0.7272727272727273
128,0,38,1,0.2430291140495727,0,0.6363636363636364
128,0,39,0,0.22286808200768246,3,0.5454545454545454
128,0,40,1,0.2343784073823396,0,0.6363636363636364
128,0,41,0,0.22771904136108742,3,0.7272727272727273
128,0,42,0,0.2452595810294494,0,0.5454545454545454
128,0,43,1,0.2241187554305931,3,0.6363636363636364
128,0,44,0,0.23211003440082015,0,0.7272727272727273
128,0,45,1,0.2178618365573594,6,0.6363636363636364
128,0,46,1,0.2467386876122648,0,0.7272727272727273
128,0,47,0,0.23788708836427006,0,0.6363636363636364
128,0,48,0,0.25370695128912024,0,0.6363636363636364
128,0,49,1,0.2248625506915565,4,0.5454545454545454
128,0,50,1,0.2331636362289559,0,0.5454545454545454
128,0,51,0,0.2453643431273291,0,0.5454545454545454
128,0,52,0,0.22284659446272875,3,0.6363636363636364
128,0,53,0,0.21325140642072965,4,0.5454545454545454
128,0,54,1,0.21742966339054837,3,0.6363636363636364
128,1,0,0,0.2381586494411372,0,0.6363636363636364
128,1,1,1,0.22054961570708237,4,0.7272727272727273
128,1,2,1,0.2215402459297017,4,0.5454545454545454
128,1,3,0,0.25869186526124016,0,0.6363636363636364
128,1,4,1,0.2369534629946827,5,0.5454545454545454
128,1,5,1,0.23726642645033055,5,0.6363636363636364
128,1,6,0,0.2737876738645977,0,0.6363636363636364
128,1,7,1,0.23904442471312806,0,0.5454545454545454
128,1,8,0,0.21352276285633745,10,0.6363636363636364
128,1,9,0,0.2309095540975227,2,0.6363636363636364
128,1,10,1,0.23833023945717724,9,0.7272727272727273
128,1,11,0,0.23352476265751979,2,0.6363636363636364
128,1,12,0,0.23965533342717726,0,0.5454545454545454
128,1,13,0,0.2343357461191951,7,0.5454545454545454
128,1,14,0,0.23867032334249388,5,0.6363636363636364
128,1,15,0,0.2211819107974891,4,0.7272727272727273
128,1,16,0,0.24835290857703712,0,0.6363636363636364
128,1,17,0,0.24500026177432055,0,0.7272727272727273
128,1,18,0,0.22914286599141165,4,0.5454545454545454
128,1,19,0,0.22525939389182262,13,0.6363636363636364
128,1,20,1,0.2242821426963093,4,0.6363636363636364
128,1,21,0,0.25047028317916376,0,0.6363636363636364
128,1,22,1,0.23213090999038605,2,0.7272727272727273
128,1,23,0,0.22715676289109668,2,0.6363636363636364
128,1,24,0,0.24418068130632042,0,0.6363636363636364
128,1,25,0,0.22148516501561674,7,0.7272727272727273
128,1,26,1,0.23460915852087696,5,0.5454545454545454
128,1,27,1,0.22922409074857059,0,0.5454545454545454
128,1,28,0,0.24163646582004214,2,0.7272727272727273
128,1,29,1,0.24762863710438365,0,0.7272727272727273
128,1,30,1,0.2210498058191365,9,0.8181818181818181
128,1,31,0,0.23839390614342038,4,0.7272727272727273
128,1,32,1,0.2394608434549365,2,0.7272727272727273
128,1,33,0,0.221325218327139,5,0.5454545454545454
128,1,34,0,0.23121214368547952,5,0.5454545454545454
128,1,35,1,0.23520105971251176,0,0.5454545454545454
128,1,36,0,0.24677911366994315,0,0.7272727272727273
128,1,37,1,0.2232273825926298,6,0.6363636363636364
128,1,38,1,0.22356248278557983,5,0.6363636363636364
128,1,39,1,0.22320666937080333,7,0.5454545454545454
128,1,40,0,0.23943873714442399,13,0.5454545454545454
128,1,41,0,0.2252656020893405,11,0.6363636363636364
128,1,42,0,0.22696480816608147,19,0.6363636363636364
128,1,43,0,0.2574711552981276,0,0.5454545454545454
128,1,44,1,0.2336105170860964,10,0.6363636363636364
128,1,45,0,0.22082296557576453,8,0.5454545454545454
128,1,46,0,0.24809036328465656,0,0.7272727272727273
128,1,47,1,0.23001082048093074,4,0.6363636363636364
128,1,48,0,0.25163822352437876,0,0.6363636363636364
128,1,49,1,0.21792461393692306,4,0.6363636363636364
128,1,50,0,0.2435791792912083,0,0.6363636363636364
128,1,51,0,0.22118074143206845,13,0.6363636363636364
128,1,52,1,0.2256703516627542,10,0.5454545454545454
128,1,53,0,0.23491068606225696,0,0.8181818181818181
128,1,54,0,0.24395241197405185,0,0.7272727272727273
128,2,0,1,0.24056739286859663,0,0.6363636363636364
128,2,1,1,0.25475497697735416,0,0.6363636363636364
128,2,2,0,0.2285807624943584,3,0.6363636363636364
128,2,3,0,0.23824253629836517,0,0.7272727272727273
128,2,4,1,0.22428169837827203,9,0.5454545454545454
128,2,5,0,0.24194772151817232,6,0.7272727272727273
128,2,6,1,0.24784599451478578,0,0.5454545454545454
128,2,7,0,0.2325171125214787,6,0.6363636363636364
128,2,8,1,0.2311340966169641,6,0.7272727272727273
128,2,9,1,0.22391302844880995,5,0.6363636363636364
128,2,10,0,0.2321720481651769,5,0.7272727272727273
128,2,11,1,0.22532267814776244,6,0.6363636363636364
128,2,12,0,0.23415827655111912,0,0.8181818181818181
128,2,13,0,0.24905738895712426,0,0.6363636363636364
128,2,14,1,0.23215176868291285,5,0.7272727272727273
128,2,15,1,0.24038172567135402,0,0.6363636363636364
128,2,16,0,0.2326013399729287,9,0.6363636363636364
128,2,17,0,0.22583729003704256,6,0.6363636363636364
128,2,18,0,0.24621000755843644,0,0.7272727272727273
128,2,19,0,0.2291917248307662,5,0.7272727272727273
128,2,20,1,0.2312143513653678,6,0.5454545454545454
128,2,21,1,0.23192790103167876,5,0.6363636363636364
128,2,22,0,0.2354327558304184,9,0.6363636363636364
128,2,23,0,0.2457596077487747,0,0.7272727272727273
128,2,24,0,0.22647422613817322,5,0.6363636363636364
128,2,25,0,0.233644335355192,0,0.5454545454545454
128,2,26,0,0.2198846960993781,7,0.5454545454545454
128,2,27,1,0.22876723498426002,9,0.6363636363636364
128,2,28,1,0.23786899821384974,5,0.7272727272727273
128,2,29,0,0.23326944765190782,8,0.7272727272727273
128,2,30,1,0.23833654411855426,8,0.6363636363636364
128,2,31,1,0.2545917520599829,0,0.5454545454545454
128,2,32,0,0.22785769730550504,5,0.6363636363636364
128,2,33,1,0.24673967268519248,1,0.7272727272727273
128,2,34,1,0.2333721708617917,6,0.7272727272727273
128,2,35,1,0.22307581913502153,14,0.6363636363636364
128,2,36,1,0.23295202785920402,6,0.7272727272727273
128,2,37,1,0.23201184659199509,5,0.7272727272727273
128,2,38,1,0.2281577705714933,6,0.6363636363636364
128,2,39,0,0.2355978805526856,5,0.7272727272727273
128,2,40,1,0.22366461724543119,9,0.6363636363636364
128,2,41,0,0.24094465340182156,5,0.6363636363636364
128,2,42,1,0.21678447775796592,6,0.5454545454545454
128,2,43,1,0.238300439758119,5,0.7272727272727273
128,2,44,1,0.23928099191385152,5,0.6363636363636364
128,2,45,1,0.23953443821523485,10,0.6363636363636364
128,2,46,1,0.2341525450177937,0,0.6363636363636364
128,2,47,0,0.2350681530661323,6,0.5454545454545454
128,2,48,1,0.23686637295963323,6,0.6363636363636364
128,2,49,1,0.22661424235112937,5,0.5454545454545454
128,2,50,1,0.2509602272828616,8,0.6363636363636364
128,2,51,1,0.24261274991647272,1,0.8181818181818181
128,2,52,0,0.25594610228190745,4,0.6363636363636364
128,2,53,1,0.23242109925267657,0,0.5454545454545454
128,2,54,0,0.24246400653010658,0,0.8181818181818181
128,3,0,1,0.21966410769895278,8,0.6363636363636364
128,3,1,0,0.24669165882143568,0,0.5454545454545454
128,3,2,0,0.25152392628661774,0,0.6363636363636364
128,3,3,0,0.22095090061770933,7,0.8181818181818181
128,3,4,0,0.22704036686807724,6,0.7272727272727273
128,3,5,1,0.23679636346967925,12,0.5454545454545454
128,3,6,1,0.22992225863034846,8,0.7272727272727273
128,3,7,1,0.22866903531930688,7,0.7272727272727273
128,3,8,0,0.2544296425875268,0,0.7272727272727273
128,3,9,1,0.22528093594517304,4,0.8181818181818181
128,3,10,1,0.23956272497183953,0,0.8181818181818181
128,3,11,0,0.24447499361694874,1,0.5454545454545454
128,3,12,1,0.2323972678902594,6,0.7272727272727273
128,3,13,1,0.2373132808103168,1,0.6363636363636364
128,3,14,0,0.24922386880593894,8,0.5454545454545454
128,3,15,0,0.23265264172853115,6,0.6363636363636364
128,3,16,0,0.2240671936481048,6,0.8181818181818181
128,3,17,1,0.238673374512034,0,0.5454545454545454
128,3,18,1,0.25534401938078477,0,0.6363636363636364
128,3,19,0,0.25290666623944236,0,0.7272727272727273
128,3,20,1,0.24042292011283403,2,0.8181818181818181
128,3,21,0,0.24575547036088494,6,0.6363636363636364
128,3,22,0,0.2539917477180377,0,0.6363636363636364
