N,SOA,trial,hit,conf,lat,sync
128,0,0,0,0.0,,
128,0,1,0,0.0,,
128,0,2,0,0.0,,
128,0,3,0,0.0,,
128,0,4,0,0.0,,
128,0,5,0,0.0,,
128,0,6,0,0.0,,
128,0,7,0,0.0,,
128,0,8,0,0.0,,
128,0,9,0,0.0,,
128,0,10,0,0.0,,
128,0,11,0,0.0,,
128,0,12,0,0.0,,
128,0,13,0,0.0,,
128,0,14,0,0.0,,
128,0,15,0,0.0,,
128,0,16,0,0.0,,
128,0,17,0,0.0,,
128,0,18,0,0.0,,
128,0,19,0,0.0,,
128,0,20,0,0.0,,
128,0,21,0,0.0,,
128,0,22,0,0.0,,
128,0,23,0,0.0,,
128,0,24,0,0.0,,
128,0,25,0,0.0,,
128,0,26,0,0.0,,
128,0,27,0,0.0,,
128,0,28,0,0.0,,
128,0,29,0,0.0,,
128,0,30,0,0.0,,
128,0,31,0,0.0,,
128,0,32,0,0.0,,
128,0,33,0,0.0,,
128,0,34,0,0.0,,
128,0,35,0,0.0,,
128,0,36,0,0.0,,
128,0,37,0,0.0,,
128,0,38,0,0.0,,
128,0,39,0,0.0,,
128,0,40,0,0.0,,
128,0,41,0,0.0,,
128,0,42,0,0.0,,
128,0,43,0,0.0,,
128,0,44,0,0.0,,
128,0,45,0,0.0,,
128,0,46,0,0.0,,
128,0,47,0,0.0,,
128,0,48,0,0.0,,
128,0,49,0,0.0,,
128,0,50,0,0.0,,
128,0,51,0,0.0,,
128,0,52,0,0.0,,
128,0,53,0,0.0,,
128,0,54,0,0.0,,
128,0,55,0,0.0,,
128,0,56,0,0.0,,
128,0,57,0,0.0,,
128,0,58,0,0.0,,
128,0,59,0,0.0,,
128,0,60,0,0.0,,
128,0,61,0,0.0,,
128,0,62,0,0.0,,
128,0,63,0,0.0,,
128,0,64,0,0.0,,
128,0,65,0,0.0,,
128,0,66,0,0.0,,
128,0,67,0,0.0,,
128,0,68,0,0.0,,
128,0,69,0,0.0,,
128,1,0,0,0.0,,
128,1,1,0,0.0,,
128,1,2,0,0.0,,
128,1,3,0,0.0,,
128,1,4,0,0.0,,
128,1,5,0,0.0,,
128,1,6,0,0.0,,
128,1,7,0,0.0,,
128,1,8,0,0.0,,
128,1,9,0,0.0,,
128,1,10,0,0.0,,
128,1,11,0,0.0,,
128,1,12,0,0.0,,
128,1,13,0,0.0,,
128,1,14,0,0.0,,
128,1,15,0,0.0,,
128,1,16,0,0.0,,
128,1,17,0,0.0,,
128,1,18,0,0.0,,
128,1,19,0,0.0,,
128,1,20,0,0.0,,
128,1,21,0,0.0,,
128,1,22,0,0.0,,
128,1,23,0,0.0,,
128,1,24,0,0.0,,
128,1,25,0,0.0,,
128,1,26,0,0.0,,
128,1,27,0,0.0,,
128,1,28,0,0.0,,
128,1,29,0,0.0,,
128,1,30,0,0.0,,
128,1,31,0,0.0,,
128,1,32,0,0.0,,
128,1,33,0,0.0,,
128,1,34,0,0.0,,
128,1,35,0,0.0,,
128,1,36,0,0.0,,
128,1,37,0,0.0,,
128,1,38,0,0.0,,
128,1,39,0,0.0,,
128,1,40,0,0.0,,
128,1,41,0,0.0,,
128,1,42,0,0.0,,
