N,SOA,trial,hit,conf,lat,sync
128,0,0,0,0.2399307045371118,,0.7272727272727273
128,0,1,1,0.24478060510075667,,0.6363636363636364
128,0,2,1,0.23544451098613461,,0.5454545454545454
128,0,3,0,0.23506233397211201,,0.6363636363636364
128,0,4,1,0.23133896386055564,,0.6363636363636364
128,0,5,1,0.25345707885214735,,0.6363636363636364
128,0,6,1,0.24194275141902638,,0.5454545454545454
128,0,7,1,0.2346704711150333,,0.6363636363636364
128,0,8,1,0.24866858895617272,,0.6363636363636364
128,0,9,1,0.2444119766652203,,0.5454545454545454
128,0,10,1,0.24086831137769252,,0.5454545454545454
128,0,11,1,0.24497517302002197,,0.7272727272727273
128,0,12,1,0.24832205410361124,,0.6363636363636364
128,0,13,1,0.2304350555295734,,0.7272727272727273
128,0,14,1,0.2322278880742725,,0.6363636363636364
128,0,15,0,0.23523177518158986,,0.6363636363636364
128,0,16,1,0.2435317386824132,,0.7272727272727273
128,0,17,0,0.24444897773070726,,0.6363636363636364
128,0,18,0,0.24397826606773496,,0.8181818181818181
128,0,19,1,0.2668519649593899,,0.6363636363636364
128,0,20,1,0.23765023665230284,,0.5454545454545454
128,0,21,0,0.2525695263802028,,0.6363636363636364
128,0,22,1,0.2519903426484654,,0.6363636363636364
128,0,23,1,0.23037562116110907,,0.5454545454545454
128,0,24,1,0.24901370715906185,,0.6363636363636364
128,0,25,1,0.24212034625083675,,0.5454545454545454
128,0,26,1,0.2405678850212854,,0.5454545454545454
128,0,27,0,0.2513161520662518,,0.7272727272727273
128,0,28,1,0.2365127202845429,,0.6363636363636364
128,0,29,0,0.26200668082504736,,0.6363636363636364
128,0,30,1,0.23776943144468884,,0.5454545454545454
128,0,31,0,0.2503936168713541,,0.8181818181818181
128,0,32,1,0.24166973845265738,,0.5454545454545454
128,0,33,1,0.2394564054797076,,0.6363636363636364
128,0,34,1,0.2546064922608458,,0.6363636363636364
128,0,35,0,0.27676121969800477,,0.7272727272727273
128,0,36,1,0.22927926281026556,,0.6363636363636364
128,0,37,1,0.22822725049620504,,0.6363636363636364
128,0,38,1,0.26763954644209503,,0.6363636363636364
128,0,39,1,0.2576986240654841,,0.5454545454545454
128,1,0,1,0.24362452348246003,,0.5454545454545454
128,1,1,1,0.24061735265845757,,0.7272727272727273
128,1,2,1,0.25061780716781434,,0.7272727272727273
128,1,3,1,0.2611114665576356,,0.7272727272727273
128,1,4,1,0.241228383197192,,0.5454545454545454
128,1,5,1,0.23568583358256498,,0.6363636363636364
128,1,6,1,0.2410884076213558,,0.6363636363636364
128,1,7,1,0.23768085153168494,,0.6363636363636364
128,1,8,1,0.24659580119431157,,0.6363636363636364
128,1,9,1,0.2454595031202768,,0.6363636363636364
128,1,10,1,0.2413289216963989,,0.6363636363636364
128,1,11,1,0.23474710540266933,,0.5454545454545454
128,1,12,1,0.2489872370092127,,0.6363636363636364
128,1,13,1,0.23795368082379129,,0.5454545454545454
128,1,14,1,0.2431066369020561,,0.6363636363636364
128,1,15,1,0.24108704384371182,,0.5454545454545454
128,1,16,0,0.2467990522399054,,0.7272727272727273
128,1,17,1,0.23986459520530423,,0.7272727272727273
128,1,18,1,0.22798627890767728,,0.5454545454545454
