N,SOA,trial,hit,conf,lat,sync
64,0,0,0,0.2896969902131906,,0.7272727272727273
64,0,1,1,0.26322719385076326,,0.6363636363636364
64,0,2,0,0.2719537066711921,,0.8181818181818181
64,0,3,1,0.24830744053781192,,0.6363636363636364
64,0,4,1,0.26387062334253075,,0.5454545454545454
64,1,0,1,0.2558757390894187,,0.5454545454545454
64,1,1,1,0.2575823511479217,,0.5454545454545454
64,1,2,1,0.29132543410526,,0.6363636363636364
64,1,3,0,0.278456308188781,,0.7272727272727273
64,1,4,1,0.2584403640361324,,0.6363636363636364
64,2,0,1,0.2741511135847071,,0.5454545454545454
64,2,1,1,0.26525755744698953,,0.5454545454545454
64,2,2,1,0.2507886688141393,,0.6363636363636364
64,2,3,1,0.2355596390081491,,0.6363636363636364
64,2,4,1,0.26597645412328363,,0.6363636363636364
