N,SOA,amp_t,amp_m,Acc,Acc_lo,Acc_hi,Trials
128,0,0.25,4.2,0.8888888888888888,0.672002348698212,0.9689804773543876,18
128,1,0.25,4.2,0.6111111111111112,0.3861904160223791,0.7969475342783638,18
128,2,0.25,4.2,0.8888888888888888,0.672002348698212,0.9689804773543876,18
128,3,0.25,4.2,0.7777777777777778,0.5478541568378739,0.9099907189139831,18
128,4,0.25,4.2,0.5,0.29031021505169974,0.7096897849483003,18
128,5,0.25,4.2,0.8333333333333334,0.6077796189608428,0.9416342319413856,18
128,6,0.25,4.2,0.6666666666666666,0.43749467295945105,0.837212252491663,18
128,8,0.25,4.2,0.7777777777777778,0.5478541568378739,0.9099907189139831,18
128,0,0.25,4.4,0.8333333333333334,0.6077796189608428,0.9416342319413856,18
128,1,0.25,4.4,0.8333333333333334,0.6077796189608428,0.9416342319413856,18
128,2,0.25,4.4,0.8888888888888888,0.672002348698212,0.9689804773543876,18
128,3,0.25,4.4,0.7777777777777778,0.5478541568378739,0.9099907189139831,18
128,4,0.25,4.4,0.7777777777777778,0.5478541568378739,0.9099907189139831,18
128,5,0.25,4.4,0.6666666666666666,0.43749467295945105,0.837212252491663,18
128,6,0.25,4.4,0.7777777777777778,0.5478541568378739,0.9099907189139831,18
128,8,0.25,4.4,0.5555555555555556,0.33716415642042774,0.7544048187299437,18
128,0,0.25,4.6,0.8333333333333334,0.6077796189608428,0.9416342319413856,18
128,1,0.25,4.6,0.9444444444444444,0.7424269921812741,0.990124809021697,18
128,2,0.25,4.6,0.5,0.29031021505169974,0.7096897849483003,18
128,3,0.25,4.6,0.6666666666666666,0.43749467295945105,0.837212252491663,18
128,4,0.25,4.6,0.7777777777777778,0.5478541568378739,0.9099907189139831,18
128,5,0.25,4.6,0.6666666666666666,0.43749467295945105,0.837212252491663,18
128,6,0.25,4.6,0.7777777777777778,0.5478541568378739,0.9099907189139831,18
128,8,0.25,4.6,0.4444444444444444,0.24559518127005633,0.6628358435795723,18
128,0,0.25,4.8,0.7222222222222222,0.4912734343970254,0.8750024662044601,18
128,1,0.25,4.8,0.8333333333333334,0.6077796189608428,0.9416342319413856,18
128,2,0.25,4.8,0.7777777777777778,0.5478541568378739,0.9099907189139831,18
128,3,0.25,4.8,0.8333333333333334,0.6077796189608428,0.9416342319413856,18
128,4,0.25,4.8,0.5,0.29031021505169974,0.7096897849483003,18
128,5,0.25,4.8,0.6111111111111112,0.3861904160223791,0.7969475342783638,18
128,6,0.25,4.8,0.6111111111111112,0.3861904160223791,0.7969475342783638,18
128,8,0.25,4.8,0.6666666666666666,0.43749467295945105,0.837212252491663,18
128,0,0.27,4.2,0.6666666666666666,0.43749467295945105,0.837212252491663,18
