N,SOA,trial,hit,conf,lat
32,0,0,1,0.2869896507127235,
32,0,1,1,0.26009668403292113,
32,0,2,1,0.27889063051965063,
32,0,3,1,0.2811044567798077,
32,0,4,0,0.2819463689047619,
32,1,0,1,0.2649728678677696,
32,1,1,1,0.2556219073238718,
32,1,2,1,0.2981900806724491,
32,1,3,1,0.2928957869086313,
32,1,4,1,0.29131715666420177,
32,2,0,1,0.26218500018375657,
32,2,1,1,0.3077962264254207,
32,2,2,0,0.2918438642069614,
32,2,3,1,0.26301586930451226,
32,2,4,0,0.2771393379985778,
64,0,0,0,0.2807252895062325,
64,0,1,0,0.24834805601871754,
64,0,2,0,0.23850439788908837,
64,0,3,0,0.25373058424119627,
64,0,4,1,0.2915770408574392,
64,1,0,1,0.2651597594906482,
64,1,1,0,0.2524395823713961,
64,1,2,1,0.2680487988217402,
64,1,3,1,0.2576125769062285,
64,1,4,0,0.2700440414832145,
64,2,0,0,0.26372031713517774,
64,2,1,1,0.24951520969358718,
64,2,2,1,0.24789392330566723,
64,2,3,1,0.23073005625266912,
64,2,4,1,0.26061208827597765,
