N,SOA,trial,hit,conf,lat,conf_cal
32,0,0,1,0.29755062388058595,,0.4693602619719593
32,0,1,1,0.26165591862605736,,0.4630183875574699
32,0,2,1,0.2797397149375076,,0.4662743913928074
32,0,3,1,0.2762057673426741,,0.46564845059287274
32,0,4,0,0.29167241396303917,,0.4683539524148853
32,0,5,1,0.2647599714467668,,0.4635869592087264
32,0,6,1,0.3038708923541211,,0.47042982480747325
32,0,7,0,0.2802436230481669,,0.4663632573857155
32,0,8,1,0.296057832414449,,0.46910578533591474
32,0,9,1,0.27194397820751787,,0.46488711031289176
32,0,10,1,0.31159998877703526,,0.47172128857960244
32,0,11,0,0.28859149630894493,,0.46782186964162004
32,0,12,1,0.24721244431875183,,0.4603145455943395
32,0,13,1,0.272304464666075,,0.4649517893247585
32,0,14,1,0.30744563774716316,,0.4710293265510468
32,0,15,1,0.29211942340900016,,0.46843088221896867
32,0,16,1,0.28152473325133154,,0.46658875718577003
32,0,17,1,0.32265280885158537,,0.4735387767635129
32,0,18,0,0.3196621017649675,,0.473050247692809
32,0,19,1,0.27939430038993046,,0.4662134209807964
32,0,20,0,0.2888769674142421,,0.46787130916520964
32,0,21,0,0.24927742753421145,,0.4607072685093756
32,0,22,1,0.25208405113804006,,0.4612376491819983
32,0,23,1,0.2809194421111806,,0.46648229080886927
32,0,24,1,0.2731479974152631,,0.4651029328030219
32,0,25,1,0.29577052173548407,,0.46905672409606786
32,0,26,1,0.29542547378489414,,0.4689977678683577
32,0,27,1,0.309391874553341,,0.47135412251252995
32,0,28,1,0.3002404143148099,,0.46981698282189516
32,0,29,0,0.2644004978984437,,0.46352132917661665
32,0,30,1,0.274548747552036,,0.46535329017732835
32,0,31,1,0.2727661997719004,,0.4650345580213522
32,0,32,0,0.2656899153523656,,0.4637564833629833
32,0,33,1,0.2934158748829119,,0.4686536185468973
32,0,34,1,0.2762151308060675,,0.46565011542864504
32,0,35,1,0.2549899041326519,,0.46178276454487527
32,0,36,1,0.26430565970274295,,0.4635040050028416
32,0,37,1,0.3004857008497559,,0.4698585177195971
32,0,38,0,0.2559120645551149,,0.4619549175981167
32,0,39,1,0.27504225848977143,,0.4654413106564073
32,0,40,1,0.2928925810958169,,0.4685637823031065
32,0,41,1,0.293881804269565,,0.4687335296722371
32,0,42,1,0.26761401481993347,,0.46410606620572686
32,0,43,1,0.2904466481515416,,0.46814265049309284
32,0,44,1,0.30457861519705226,,0.4705488191436995
32,0,45,1,0.2746190505399759,,0.4653658349828434
32,0,46,1,0.27885320754050374,,0.4661178198288428
32,0,47,1,0.26310850611866726,,0.4632849838937615
32,0,48,1,0.2855308921258363,,0.4672900149016766
32,0,49,0,0.3167094264463156,,0.47256559930690945
32,1,0,1,0.25284435043661707,,0.4613806658548511
32,1,1,1,0.2583165373898118,,0.4624019344660007
32,1,2,1,0.28749539492264514,,0.46763177562508584
32,1,3,1,0.2964329495469997,,0.4691697998240873
32,1,4,1,0.27519467771241574,,0.46546847610553266
32,1,5,0,0.26783495964616183,,0.4641461087627721
32,1,6,1,0.27665872482691595,,0.4657289479506345
32,1,7,1,0.27432910628462176,,0.46531408498873983
32,1,8,0,0.26317806694429896,,0.4632977272592141
32,1,9,0,0.2857936916213875,,0.46733581326614304
32,1,10,0,0.28258978744748825,,0.46677576264572607
32,1,11,0,0.2601780871758206,,0.4627461975393451
32,1,12,1,0.2837897212527541,,0.4669859508502045
32,1,13,1,0.2900717723560153,,0.4680779252922145
32,1,14,1,0.2617039271555702,,0.4630272135489987
32,1,15,1,0.26053409705482367,,0.46281185744586484
32,1,16,1,0.28031994802770765,,0.46637670923925817
32,1,17,1,0.3155680597676202,,0.4723776229055841
32,1,18,1,0.2756912275370243,,0.46555691219998974
32,1,19,1,0.27767645657526246,,0.4659095244588082
32,1,20,1,0.2680292374754527,,0.46418130144851605
32,1,21,1,0.3017718077530218,,0.4700759882535909
32,1,22,1,0.3115575750713255,,0.47171424920145405
32,1,23,1,0.293063546923489,,0.46859314289210435
32,1,24,1,0.27565967126439606,,0.46555129486571123
32,1,25,0,0.29036193681843525,,0.46812802865301917
32,1,26,1,0.27317977145442945,,0.46510862047117535
32,1,27,1,0.3138356423426025,,0.4720916168817968
32,1,28,1,0.28948935127483505,,0.46797726969824105
32,1,29,0,0.2739196245815085,,0.4652409429308029
32,1,30,1,0.26887561028568513,,0.4643344345592712
32,1,31,1,0.26160168682600704,,0.4630084162366726
32,1,32,1,0.27716727959824927,,0.4658192309873301
32,1,33,0,0.2725744474823421,,0.46500019572270346
32,1,34,0,0.2515396649990566,,0.46113507520697045
32,1,35,1,0.2769429731683843,,0.46577942250547494
32,1,36,0,0.31189266650023234,,0.471769850152639
32,1,37,0,0.2786640930132775,,0.4660843805388682
32,1,38,1,0.29555364846241217,,0.4690196728518137
32,1,39,1,0.2718783507582587,,0.46487532968956774
32,1,40,1,0.3027112024984271,,0.4702345071485017
32,1,41,1,0.2758658152813117,,0.46558798354092445
32,1,42,0,0.2747261657919643,,0.46538494478572734
32,1,43,1,0.2982376566558111,,0.469477138506755
32,1,44,1,0.2900353007014151,,0.4680716255977779
32,1,45,0,0.26480156692806917,,0.46359454980403614
32,1,46,1,0.31471255984511487,,0.4722364919473243
32,1,47,0,0.2650248620671517,,0.46363528530889647
32,1,48,1,0.27508066181038654,,0.46544815608333684
32,1,49,0,0.26594944931787734,,0.46380372896143846
32,2,0,1,0.26399754268380365,,0.4634476941023015
32,2,1,1,0.32330043185356216,,0.4736442582823965
32,2,2,0,0.30145644976047975,,0.4700227115199142
32,2,3,0,0.2536182929493686,,0.46152596348593133
32,2,4,1,0.2809017956861686,,0.46647918488016726
32,2,5,1,0.26054157178660187,,0.46281323542233066
32,2,6,1,0.3107414309188047,,0.4715786940170542
32,2,7,0,0.27072620861801894,,0.46466822667740226
32,2,8,1,0.28102692373595106,,0.46650120602614453
32,2,9,1,0.30224807098788925,,0.4701563898122395
32,2,10,0,0.2682072644006567,,0.4642135364645702
32,2,11,1,0.2864961327491125,,0.4674581073623556
32,2,12,1,0.2730786587596106,,0.4650905195297229
32,2,13,0,0.2950653075672699,,0.4689361867296195
32,2,14,1,0.28813595944162257,,0.4677429182189027
32,2,15,1,0.26840190937937586,,0.4642487653162752
32,2,16,1,0.27464005341445946,,0.4653695823392605
32,2,17,1,0.26430577696034274,,0.4635040264247914
32,2,18,1,0.3018771619381197,,0.47009377994624574
32,2,19,1,0.2932374144317974,,0.4686229917377358
32,2,20,1,0.2927740937951424,,0.46854342828187884
32,2,21,0,0.3255142557341002,,0.4740040231736607
32,2,22,1,0.28781443099174303,,0.4676871487221459
32,2,23,0,0.2729205752681152,,0.4650622116157137
32,2,24,1,0.266714053455562,,0.46394275078009756
32,2,25,1,0.3000119217007137,,0.4697782746189769
32,2,26,1,0.2708485669333231,,0.46469024682400195
32,2,27,1,0.2641607203572274,,0.46347752128269404
32,2,28,1,0.27331164266601654,,0.4651322215814613
32,2,29,1,0.26793534906214883,,0.46416429589702546
32,2,30,1,0.33979100056502676,,0.4762954362796922
32,2,31,1,0.28509831759538895,,0.4672145756993303
32,2,32,1,0.2580660425343168,,0.4623554891877342
32,2,33,1,0.2709121230915783,,0.4647016822597489
32,2,34,1,0.28098347529767703,,0.4664935602462482
32,2,35,1,0.3355167863160365,,0.47561444703855654
32,2,36,0,0.2557075397546131,,0.46191677040809387
32,2,37,1,0.28799035439799986,,0.4677176673428803
32,2,38,1,0.2913233717148641,,0.4682938354717159
32,2,39,0,0.2686665879759935,,0.46429664420437095
32,2,40,1,0.2527371007551115,,0.4613605084529259
32,2,41,1,0.25409100666299855,,0.46161456855274247
32,2,42,1,0.25691940023212045,,0.46214251743600343
32,2,43,1,0.295880880357598,,0.46907557215664014
32,2,44,1,0.2975160278617147,,0.4693543725521063
32,2,45,1,0.2696292309362776,,0.46447053547640216
32,2,46,1,0.26387228105869137,,0.4634247897361733
32,2,47,1,0.28709273378995775,,0.46756183703334125
32,2,48,1,0.2866167918957994,,0.4674790962809973
32,2,49,1,0.26068016350007905,,0.46283878045015814
32,3,0,1,0.27966477380595967,,0.46626116708278353
32,3,1,1,0.2718281120432655,,0.4648663102827359
32,3,2,1,0.28159164786423746,,0.46660051862011764
32,3,3,1,0.2572508190264467,,0.4622041358289643
32,3,4,0,0.2746897940203339,,0.46537845641936804
32,3,5,1,0.28481175216651894,,0.4671645628092282
32,3,6,1,0.26290686913268463,,0.46324803253842656
32,3,7,1,0.27936945023521853,,0.4662090328475078
32,3,8,1,0.28714726205454766,,0.46757131145113057
32,3,9,1,0.28071222093857817,,0.46644581068861335
32,3,10,0,0.2603012154098625,,0.46276891286324806
32,3,11,1,0.2898669448706452,,0.46804253980245847
32,3,12,1,0.2864315519910705,,0.4674468712742139
32,3,13,1,0.26582018216170694,,0.4637802007477533
32,3,14,0,0.33436797501363974,,0.4754307003433187
32,3,15,1,0.31813648939736594,,0.4728001287456505
32,3,16,1,0.2581908335556366,,0.462378630793157
32,3,17,0,0.28415132711567775,,0.4670491890379904
32,3,18,1,0.33118724226884294,,0.47492034223923274
32,3,19,1,0.25283343440693107,,0.4613786144578165
32,3,20,0,0.27896851697997366,,0.46613820220351465
32,3,21,1,0.26827641888770687,,0.46422605456843125
32,3,22,1,0.29194715927215636,,0.46840124378371856
32,3,23,1,0.25494562093643774,,0.46177448749923344
32,3,24,1,0.30783358193709204,,0.47109415708569585
32,3,25,0,0.2733219517749088,,0.4651340663191322
32,3,26,1,0.27739575276246986,,0.46585975898736737
32,3,27,1,0.26849658948899086,,0.46426589577798244
32,3,28,1,0.30187032139845676,,0.470092624854511
32,3,29,1,0.28186783095223866,,0.4666490451372361
32,3,30,1,0.26493888186728154,,0.4636196025710304
32,3,31,0,0.3335345332191384,,0.47529720298223443
32,3,32,1,0.27823394007138097,,0.4660082699856143
32,3,33,1,0.2720991142793236,,0.46491495148739587
32,3,34,0,0.2573168732516443,,0.46221641076594566
32,3,35,1,0.277126491974998,,0.46581199370472215
32,3,36,1,0.27801336323489406,,0.4659692140557017
32,3,37,0,0.2620017592454133,,0.46308194482403625
32,3,38,1,0.2723421975560816,,0.4649585563840571
32,3,39,0,0.2678024598009254,,0.4641402199947438
