RewireP,Size,Seeds,Threshold_mean,Threshold_lo,Threshold_hi,DegreeFrac,BackwardOnly,Trials,N,Threshold50_linear,Threshold50_logistic,Threshold50_lo,Threshold50_hi,LogisticSlope,Pattern,Modules,InterFrac,GW_tau,GW_theta,Sync_mean,Seed
0.0,64.0,5.0,2.581512605042017,0.0,10.850420168067226,0.38,True,12.0,,,,,,,,,,,,,
0.0,,,,,,0.38,,,64.0,0.0,12.0,0.0,2.3440677966101693,5.921633146530612,small_world,4.0,0.05,0.9,0.55,0.6043771043771045,12000.0
0.0,,,,,,0.38,,,64.0,1.3333333333333333,0.5042016806722689,0.0,2.7508474576271187,5.06938817755102,small_world,4.0,0.05,0.9,0.55,0.6043771043771043,12001.0
0.0,,,,,,0.38,,,64.0,1.3333333333333333,0.40336134453781514,0.0,2.140677966101695,4.217143208571429,small_world,4.0,0.05,0.9,0.55,0.6026936026936027,12002.0
0.0,,,,,,0.38,,,64.0,1.0,0.0,0.0,1.93728813559322,4.927347349387755,small_world,4.0,0.05,0.9,0.55,0.6060606060606061,12003.0
0.0,,,,,,0.38,,,64.0,1.0,0.0,0.0,2.5474576271186438,5.211429005714286,small_world,4.0,0.05,0.9,0.55,0.6043771043771045,12004.0
0.05,64.0,5.0,3.065546218487395,2.5210084033613445,3.882352941176471,0.38,True,12.0,,,,,,,,,,,,,
0.05,,,,,,0.38,,,64.0,1.5,2.5210084033613445,0.6000000000000001,4.998305084745762,7.200000599999999,small_world,4.0,0.05,0.9,0.55,0.595117845117845,12000.0
0.05,,,,,,0.38,,,64.0,0.0,2.5210084033613445,1.1135593220338984,4.677966101694915,7.200000599999999,small_world,4.0,0.05,0.9,0.55,0.595117845117845,12001.0
0.05,,,,,,0.38,,,64.0,2.0,2.92436974789916,1.4135593220338984,4.88135593220339,7.200000599999999,small_world,4.0,0.05,0.9,0.55,0.5942760942760942,12002.0
0.05,,,,,,0.38,,,64.0,2.5,3.9327731092436977,1.810169491525424,5.898305084745763,7.200000599999999,small_world,4.0,0.05,0.9,0.55,0.5934343434343433,12003.0
0.05,,,,,,0.38,,,64.0,2.0,3.428571428571429,1.703389830508475,5.0949152542372875,6.631837287346938,small_world,4.0,0.05,0.9,0.55,0.5917508417508417,12004.0
0.1,64.0,5.0,1.5126050420168067,0.5142857142857142,2.984873949579832,0.38,True,12.0,,,,,,,,,,,,,
0.1,,,,,,0.38,,,64.0,7.333333333333333,0.6050420168067228,0.0,4.388135593220338,7.200000599999999,small_world,4.0,0.05,0.9,0.55,0.6077441077441078,12000.0
0.1,,,,,,0.38,,,64.0,2.0,0.5042016806722689,0.0,2.8474576271186445,7.200000599999999,small_world,4.0,0.05,0.9,0.55,0.6052188552188552,12001.0
0.1,,,,,,0.38,,,64.0,2.0,0.8067226890756303,0.0,3.7677966101694915,7.200000599999999,small_world,4.0,0.05,0.9,0.55,0.6094276094276095,12002.0
0.1,,,,,,0.38,,,64.0,0.0,2.6218487394957983,0.6966101694915254,5.084745762711865,7.200000599999999,small_world,4.0,0.05,0.9,0.55,0.6111111111111113,12003.0
0.1,,,,,,0.38,,,64.0,0.0,3.0252100840336134,0.8033898305084746,5.0949152542372875,7.200000599999999,small_world,4.0,0.05,0.9,0.55,0.6094276094276095,12004.0
0.15,64.0,5.0,7.2,0.0,12.0,0.38,True,12.0,,,,,,,,,,,,,
0.15,,,,,,0.38,,,64.0,1.0,0.0,0.0,2.6440677966101696,6.489796459183673,small_world,4.0,0.05,0.9,0.55,0.6102693602693603,12000.0
0.15,,,,,,0.38,,,64.0,1.25,0.0,0.0,3.167796610169491,7.200000599999999,small_world,4.0,0.05,0.9,0.55,0.6052188552188552,12001.0
0.15,,,,,,0.38,,,64.0,0.0,12.0,0.0,2.440677966101695,6.347755631020408,small_world,4.0,0.05,0.9,0.55,0.6077441077441078,12002.0
0.15,,,,,,0.38,,,64.0,1.0,12.0,0.0,1.93728813559322,6.063673974693877,small_world,4.0,0.05,0.9,0.55,0.6077441077441078,12003.0
0.15,,,,,,0.38,,,64.0,,12.0,0.0,1.2203389830508475,5.211429005714286,small_world,4.0,0.05,0.9,0.55,0.6102693602693604,12004.0
0.2,64.0,5.0,3.1260504201680677,2.742857142857143,3.327731092436975,0.38,True,12.0,,,,,,,,,,,,,
0.2,,,,,,0.38,,,64.0,2.0,2.92436974789916,0.8033898305084746,5.501694915254237,7.200000599999999,small_world,4.0,0.05,0.9,0.55,0.5968013468013467,12000.0
0.2,,,,,,0.38,,,64.0,2.0,3.327731092436975,1.6271186440677967,5.084745762711865,7.200000599999999,small_world,4.0,0.05,0.9,0.55,0.5976430976430975,12001.0
0.2,,,,,,0.38,,,64.0,2.0,3.327731092436975,1.6271186440677967,6.025423728813558,7.200000599999999,small_world,4.0,0.05,0.9,0.55,0.601010101010101,12002.0
0.2,,,,,,0.38,,,64.0,2.3333333333333335,3.327731092436975,1.2101694915254237,5.501694915254237,7.200000599999999,small_world,4.0,0.05,0.9,0.55,0.6043771043771045,12003.0
0.2,,,,,,0.38,,,64.0,2.25,2.722689075630252,1.1135593220338984,5.694915254237289,7.200000599999999,small_world,4.0,0.05,0.9,0.55,0.6035353535353536,12004.0
0.3,64.0,5.0,3.0453781512605045,2.4605042016806724,3.761344537815126,0.38,True,12.0,,,,,,,,,,,,,
0.3,,,,,,0.38,,,64.0,0.0,3.1260504201680672,0.9101694915254237,4.88135593220339,7.200000599999999,small_world,4.0,0.05,0.9,0.55,0.5993265993265993,12000.0
0.3,,,,,,0.38,,,64.0,3.3333333333333335,3.831932773109244,2.1305084745762715,5.694915254237289,7.200000599999999,small_world,4.0,0.05,0.9,0.55,0.5993265993265993,12001.0
0.3,,,,,,0.38,,,64.0,3.0,2.420168067226891,1.6271186440677967,5.394915254237288,7.057959771836734,small_world,4.0,0.05,0.9,0.55,0.5976430976430976,12002.0
0.3,,,,,,0.38,,,64.0,3.25,2.823529411764706,1.316949152542373,4.8915254237288135,5.637551490204081,small_world,4.0,0.05,0.9,0.55,0.595117845117845,12003.0
0.3,,,,,,0.38,,,64.0,3.3333333333333335,3.0252100840336134,1.316949152542373,4.988135593220339,6.915918943673469,small_world,4.0,0.05,0.9,0.55,0.5968013468013468,12004.0
0.4,64.0,5.0,1.3915966386554623,0.7663865546218488,1.8857142857142857,0.38,True,12.0,,,,,,,,,,,,,
0.4,,,,,,0.38,,,64.0,1.0,1.3109243697478992,0.0,3.8644067796610173,7.200000599999999,small_world,4.0,0.05,0.9,0.55,0.6026936026936026,12000.0
0.4,,,,,,0.38,,,64.0,2.0,1.915966386554622,0.7067796610169492,3.5644067796610166,7.200000599999999,small_world,4.0,0.05,0.9,0.55,0.6052188552188552,12001.0
0.4,,,,,,0.38,,,64.0,2.0,1.6134453781512605,0.5033898305084746,3.8644067796610173,7.200000599999999,small_world,4.0,0.05,0.9,0.55,0.606060606060606,12002.0
0.4,,,,,,0.38,,,64.0,0.0,1.411764705882353,0.2033898305084746,3.971186440677966,7.200000599999999,small_world,4.0,0.05,0.9,0.55,0.6077441077441077,12003.0
0.4,,,,,,0.38,,,64.0,0.0,0.7058823529411765,0.0,3.4779661016949146,7.200000599999999,small_world,4.0,0.05,0.9,0.55,0.6077441077441078,12004.0
0.5,64.0,5.0,3.226890756302521,0.7260504201680673,10.961344537815124,0.38,True,12.0,,,,,,,,,,,,,
0.5,,,,,,0.38,,,64.0,1.5,0.907563025210084,0.0,3.457627118644068,7.200000599999999,small_world,4.0,0.05,0.9,0.55,0.6026936026936027,12000.0
0.5,,,,,,0.38,,,64.0,1.0,12.0,0.0,3.1576271186440676,7.200000599999999,small_world,4.0,0.05,0.9,0.55,0.6026936026936027,12001.0
0.5,,,,,,0.38,,,64.0,0.6666666666666666,0.907563025210084,0.09661016949152545,3.7677966101694915,7.200000599999999,small_world,4.0,0.05,0.9,0.55,0.6035353535353535,12002.0
0.5,,,,,,0.38,,,64.0,0.6666666666666666,1.6134453781512605,0.2033898305084746,4.1745762711864405,7.200000599999999,small_world,4.0,0.05,0.9,0.55,0.6052188552188552,12003.0
0.5,,,,,,0.38,,,64.0,1.0,0.7058823529411765,0.0,4.067796610169491,7.200000599999999,small_world,4.0,0.05,0.9,0.55,0.6060606060606061,12004.0
