RewireP,Size,Seeds,Threshold_mean,Threshold_lo,Threshold_hi,DegreeFrac,BackwardOnly,Trials,N,Threshold50_linear,Threshold50_logistic,Threshold50_lo,Threshold50_hi,LogisticSlope,Pattern,Modules,InterFrac,GW_tau,GW_theta,Sync_mean,Seed
0.32,64.0,8.0,16.0,16.0,16.0,,,,,,,,,,,,,,,,
0.33,64.0,8.0,16.0,16.0,16.0,,,,,,,,,,,,,,,,
0.34,64.0,8.0,2.105042016806723,1.9446575306772864,2.26542650293616,,,,,,,,,,,,,,,,
0.35,64.0,8.0,16.0,16.0,16.0,,,,,,,,,,,,,,,,
0.36,64.0,8.0,4.07563025210084,-1.0258745126770874,9.177135016878768,,,,,,,,,,,,,,,,
0.37,64.0,8.0,16.0,16.0,16.0,,,,,,,,,,,,,,,,
0.38,64.0,8.0,48.0,48.0,48.0,,,,,,,,,,,,,,,,
0.39,64.0,8.0,48.0,48.0,48.0,,,,,,,,,,,,,,,,
0.4,64.0,8.0,2.0,-1.92,5.92,,,,,,,,,,,,,,,,
0.405,64.0,8.0,64.0,64.0,64.0,,,,,,,,,,,,,,,,
0.41,64.0,8.0,64.0,64.0,64.0,,,,,,,,,,,,,,,,
0.42,64.0,8.0,64.0,64.0,64.0,,,,,,,,,,,,,,,,
0.405,,,,,,0.38,,,64.0,,64.0,0.0,0.0,2.037551052244898,small_world,4.0,0.05,0.9,0.55,0.5943001443001442,12005.0
0.405,,,,,,0.38,,,64.0,,64.0,0.0,0.0,2.795102084489796,small_world,4.0,0.05,0.9,0.55,0.5935786435786435,12006.0
0.405,,,,,,0.38,,,64.0,,64.0,0.0,0.0,2.795102084489796,small_world,4.0,0.05,0.9,0.55,0.5933621933621933,12007.0
0.405,,,,,,0.38,,,64.0,,64.0,0.0,0.0,2.795102084489796,small_world,4.0,0.05,0.9,0.55,0.5932900432900433,12008.0
0.405,,,,,,0.38,,,64.0,,64.0,0.0,0.0,2.795102084489796,small_world,4.0,0.05,0.9,0.55,0.5933621933621933,12009.0
0.405,,,,,,0.38,,,64.0,,64.0,0.0,0.0,2.037551052244898,small_world,4.0,0.05,0.9,0.55,0.5937229437229437,12010.0
0.405,,,,,,0.38,,,64.0,,64.0,0.0,0.0,2.795102084489796,small_world,4.0,0.05,0.9,0.55,0.5940836940836941,12011.0
0.405,,,,,,0.38,,,64.0,,64.0,0.0,0.0,2.795102084489796,small_world,4.0,0.05,0.9,0.55,0.5933621933621933,12012.0
0.41,,,,,,0.38,,,64.0,,64.0,0.0,0.0,1.28000002,small_world,4.0,0.05,0.9,0.55,0.5948051948051949,12005.0
0.41,,,,,,0.38,,,64.0,,64.0,0.0,0.0,2.037551052244898,small_world,4.0,0.05,0.9,0.55,0.5951659451659451,12006.0
