N,SOA,trial,hit,conf,lat,sync
64,0,0,0,0.2521606351103882,1.0,0.5454545454545454
64,0,1,0,0.22558216880275458,3.0,0.6363636363636364
64,0,2,1,0.24318322121098415,6.0,0.5454545454545454
64,0,3,1,0.25057054466133555,2.0,0.7272727272727273
64,0,4,1,0.27410128230942393,16.0,0.5454545454545454
64,0,5,0,0.2699001628234682,0.0,0.6363636363636364
64,0,6,1,0.234369491920841,7.0,0.5454545454545454
64,0,7,1,0.2289958560875203,8.0,0.6363636363636364
64,0,8,0,0.23493740368690944,6.0,0.5454545454545454
64,0,9,1,0.27752144475324914,2.0,0.5454545454545454
64,0,10,1,0.2889307280412826,2.0,0.5454545454545454
64,0,11,0,0.22845736262259916,13.0,0.5454545454545454
64,0,12,0,0.26330732481404534,1.0,0.7272727272727273
64,0,13,0,0.2387487497546508,9.0,0.6363636363636364
64,0,14,1,0.24463067912526273,14.0,0.6363636363636364
64,0,15,1,0.24533238631980528,9.0,0.5454545454545454
64,0,16,0,0.24784895680624533,4.0,0.7272727272727273
64,0,17,0,0.2549357791658409,2.0,0.6363636363636364
64,0,18,1,0.25552938767438266,0.0,0.7272727272727273
64,0,19,1,0.2546539088310821,1.0,0.5454545454545454
64,0,20,1,0.2433778978645207,4.0,0.6363636363636364
64,0,21,1,0.2547301533859926,5.0,0.7272727272727273
64,0,22,1,0.2491866010662316,4.0,0.5454545454545454
64,0,23,0,0.22884373425153295,4.0,0.5454545454545454
64,0,24,0,0.2529227017954282,0.0,0.6363636363636364
64,0,25,1,0.25110126830657487,13.0,0.5454545454545454
64,0,26,0,0.2387080108572629,10.0,0.6363636363636364
64,0,27,0,0.2433649439447166,8.0,0.6363636363636364
64,0,28,0,0.2635407698866945,7.0,0.6363636363636364
64,0,29,0,0.23673596105786746,4.0,0.7272727272727273
64,0,30,1,0.26237374684752274,,0.5454545454545454
64,0,31,0,0.2482299813090842,17.0,0.6363636363636364
64,0,32,0,0.24299514820818444,,0.6363636363636364
64,0,33,1,0.248985478664455,11.0,0.7272727272727273
64,0,34,1,0.26949269721381963,16.0,0.6363636363636364
64,1,0,0,0.3041887407147048,3.0,0.6363636363636364
64,1,1,1,0.25731036045121397,2.0,0.7272727272727273
64,1,2,1,0.24514395281417853,9.0,0.6363636363636364
64,1,3,0,0.2520599681428231,10.0,0.6363636363636364
64,1,4,1,0.2847280786259044,0.0,0.6363636363636364
64,1,5,0,0.26264998805041845,0.0,0.6363636363636364
64,1,6,0,0.2515246231170639,3.0,0.6363636363636364
64,1,7,1,0.23725410728928986,5.0,0.6363636363636364
64,1,8,0,0.24394164123597648,13.0,0.8181818181818181
64,1,9,1,0.2926972125504193,0.0,0.6363636363636364
64,1,10,1,0.24710290324891093,10.0,0.6363636363636364
64,1,11,0,0.26233382737390337,6.0,0.5454545454545454
64,1,12,0,0.26844174413520067,13.0,0.5454545454545454
64,1,13,1,0.22941029578620895,14.0,0.5454545454545454
64,1,14,1,0.26607919826543747,,0.5454545454545454
64,1,15,1,0.2500149011827248,7.0,0.6363636363636364
64,1,16,0,0.2596120591504242,1.0,0.6363636363636364
64,1,17,0,0.22579038389361072,10.0,0.6363636363636364
64,1,18,0,0.2508686572516774,1.0,0.7272727272727273
64,1,19,1,0.23352975142944568,3.0,0.5454545454545454
64,1,20,0,0.24610417095613704,3.0,0.6363636363636364
64,1,21,1,0.2653947322565644,3.0,0.6363636363636364
64,1,22,1,0.244040022994124,7.0,0.5454545454545454
64,1,23,0,0.23635307867335592,,0.5454545454545454
64,1,24,0,0.23458250244369055,8.0,0.6363636363636364
64,1,25,1,0.22463640011293587,3.0,0.5454545454545454
64,1,26,0,0.24825395356302543,3.0,0.5454545454545454
64,1,27,1,0.23212474436846844,5.0,0.6363636363636364
64,1,28,1,0.2502855714035553,12.0,0.5454545454545454
64,1,29,0,0.27887029124756224,0.0,0.5454545454545454
64,1,30,0,0.25258869426772335,4.0,0.6363636363636364
64,1,31,0,0.2647912632837726,0.0,0.6363636363636364
64,1,32,1,0.2424119208785721,4.0,0.5454545454545454
64,1,33,1,0.24056944961807955,5.0,0.6363636363636364
64,1,34,0,0.2641061145401908,6.0,0.6363636363636364
64,2,0,1,0.2569916939565813,1.0,0.5454545454545454
64,2,1,0,0.2816061347821604,0.0,0.6363636363636364
64,2,2,0,0.2512345904950148,,0.6363636363636364
64,2,3,1,0.23067817761973128,13.0,0.7272727272727273
64,2,4,1,0.24331270293463805,10.0,0.7272727272727273
64,2,5,1,0.23085120203613324,7.0,0.6363636363636364
64,2,6,0,0.25458186097291735,2.0,0.7272727272727273
64,2,7,0,0.24629192332938998,5.0,0.5454545454545454
64,2,8,1,0.23651150343141475,4.0,0.6363636363636364
64,2,9,1,0.2552109229678973,0.0,0.6363636363636364
64,2,10,1,0.26985175101806774,1.0,0.5454545454545454
64,2,11,1,0.23825316560160884,5.0,0.7272727272727273
64,2,12,0,0.2598352130088909,0.0,0.5454545454545454
64,2,13,0,0.248760522462431,4.0,0.6363636363636364
64,2,14,1,0.2817453842119384,0.0,0.5454545454545454
64,2,15,1,0.2430203000051277,,0.5454545454545454
64,2,16,1,0.2608772651128575,0.0,0.6363636363636364
64,2,17,1,0.24615407556427013,21.0,0.5454545454545454
64,2,18,1,0.24829781259270792,11.0,0.6363636363636364
64,2,19,1,0.25231258957059555,2.0,0.5454545454545454
64,2,20,1,0.2504352145363543,2.0,0.6363636363636364
64,2,21,1,0.24236976191054915,17.0,0.5454545454545454
64,2,22,0,0.24559106175295792,6.0,0.5454545454545454
64,2,23,1,0.2616823921556855,9.0,0.6363636363636364
64,2,24,0,0.2530962811010034,4.0,0.6363636363636364
64,2,25,1,0.22822836486938022,16.0,0.6363636363636364
64,2,26,0,0.24505485630487142,6.0,0.5454545454545454
64,2,27,1,0.23912175547219178,6.0,0.5454545454545454
64,2,28,1,0.25006832137455043,7.0,0.5454545454545454
64,2,29,1,0.23597213565477723,19.0,0.6363636363636364
64,2,30,0,0.2453284202758456,4.0,0.7272727272727273
64,2,31,1,0.25369524772149843,4.0,0.6363636363636364
64,2,32,0,0.28403835800044225,0.0,0.6363636363636364
64,2,33,1,0.24158290777000524,6.0,0.7272727272727273
64,2,34,0,0.23519505364807716,5.0,0.6363636363636364
64,3,0,0,0.2406473709297524,6.0,0.6363636363636364
64,3,1,0,0.2558789687979601,14.0,0.5454545454545454
64,3,2,0,0.25554145075948875,,0.6363636363636364
64,3,3,1,0.24402369432112686,6.0,0.5454545454545454
64,3,4,0,0.24077107705405842,5.0,0.5454545454545454
64,3,5,1,0.24360620955278947,,0.6363636363636364
64,3,6,1,0.2430071479987196,8.0,0.7272727272727273
64,3,7,0,0.24823187475146535,8.0,0.5454545454545454
64,3,8,1,0.24184107921171963,11.0,0.5454545454545454
64,3,9,0,0.23853189392397484,15.0,0.6363636363636364
64,3,10,1,0.25412349603388623,0.0,0.6363636363636364
64,3,11,1,0.25681513728064714,10.0,0.6363636363636364
64,3,12,1,0.22905315615916785,7.0,0.5454545454545454
64,3,13,1,0.2382621107946988,12.0,0.5454545454545454
64,3,14,0,0.25681116198351217,5.0,0.6363636363636364
64,3,15,1,0.2697102371605814,13.0,0.6363636363636364
64,3,16,1,0.2711123217755437,2.0,0.6363636363636364
64,3,17,0,0.2535359021159225,1.0,0.7272727272727273
64,3,18,0,0.23969342630477025,3.0,0.6363636363636364
64,3,19,1,0.24536471645953126,9.0,0.5454545454545454
64,3,20,0,0.23550270314733016,11.0,0.7272727272727273
64,3,21,1,0.27683920965710374,1.0,0.7272727272727273
64,3,22,1,0.2496434401992761,8.0,0.6363636363636364
64,3,23,0,0.26127211594712413,5.0,0.6363636363636364
64,3,24,1,0.2725221536919828,2.0,0.6363636363636364
64,3,25,1,0.2490168770113272,9.0,0.5454545454545454
64,3,26,1,0.23459558892945093,12.0,0.5454545454545454
64,3,27,1,0.2621193574091889,0.0,0.5454545454545454
64,3,28,0,0.23650950244285304,15.0,0.6363636363636364
64,3,29,1,0.2490232925877292,3.0,0.5454545454545454
64,3,30,0,0.2859313618469009,1.0,0.6363636363636364
64,3,31,1,0.24241321989257028,7.0,0.5454545454545454
64,3,32,1,0.23709967371555205,6.0,0.6363636363636364
64,3,33,1,0.24479938681284868,3.0,0.6363636363636364
64,3,34,0,0.2695919686480897,1.0,0.7272727272727273
64,4,0,1,0.23918937591799486,6.0,0.6363636363636364
64,4,1,1,0.23942576923469833,,0.5454545454545454
64,4,2,1,0.24239465231505183,10.0,0.6363636363636364
64,4,3,1,0.23863601558289782,6.0,0.5454545454545454
64,4,4,1,0.2432605501909985,9.0,0.5454545454545454
64,4,5,1,0.24319211370899596,4.0,0.6363636363636364
64,4,6,0,0.2434230106981387,5.0,0.6363636363636364
64,4,7,1,0.2650732120378972,7.0,0.6363636363636364
64,4,8,0,0.238255881413677,6.0,0.5454545454545454
64,4,9,1,0.24461854708777506,9.0,0.5454545454545454
64,4,10,1,0.26127239728088014,2.0,0.5454545454545454
64,4,11,1,0.2590885904954262,1.0,0.5454545454545454
64,4,12,0,0.24375823591143092,11.0,0.5454545454545454
64,4,13,1,0.2481803233853276,3.0,0.6363636363636364
64,4,14,1,0.2602981078378014,9.0,0.5454545454545454
64,4,15,0,0.27889157754625404,1.0,0.5454545454545454
64,4,16,1,0.2468568079212395,17.0,0.5454545454545454
64,4,17,1,0.2501250872269493,2.0,0.6363636363636364
64,4,18,1,0.24443779186286815,7.0,0.6363636363636364
64,4,19,0,0.24900347199891992,3.0,0.6363636363636364
64,4,20,1,0.2641108579764136,0.0,0.6363636363636364
64,4,21,1,0.27086183008879117,2.0,0.5454545454545454
64,4,22,1,0.23601133884812522,11.0,0.5454545454545454
64,4,23,1,0.2712254538491966,0.0,0.5454545454545454
64,4,24,0,0.24026424436139193,11.0,0.5454545454545454
64,4,25,1,0.27132152605025844,2.0,0.6363636363636364
64,4,26,1,0.26314140478648934,3.0,0.5454545454545454
64,4,27,1,0.2349968501992266,10.0,0.5454545454545454
64,4,28,0,0.23255684900375917,10.0,0.7272727272727273
64,4,29,0,0.2575333232211892,1.0,0.5454545454545454
64,4,30,0,0.23178031769568175,4.0,0.5454545454545454
64,4,31,1,0.26285073956464977,14.0,0.6363636363636364
64,4,32,1,0.24804994914985667,9.0,0.6363636363636364
64,4,33,1,0.25153566076928374,2.0,0.7272727272727273
64,4,34,1,0.26464843955921047,1.0,0.6363636363636364
64,5,0,1,0.2446454934717938,8.0,0.5454545454545454
64,5,1,0,0.2768311253738892,16.0,0.6363636363636364
64,5,2,1,0.24994585567355082,18.0,0.6363636363636364
64,5,3,1,0.22870053116450217,16.0,0.5454545454545454
64,5,4,1,0.24907222661974712,10.0,0.5454545454545454
64,5,5,1,0.26930835871295666,,0.5454545454545454
64,5,6,0,0.2679083935146824,1.0,0.6363636363636364
64,5,7,1,0.23361221272576432,19.0,0.6363636363636364
64,5,8,1,0.2520124599500486,5.0,0.5454545454545454
64,5,9,1,0.24298630241429575,10.0,0.6363636363636364
64,5,10,0,0.24494263516715883,4.0,0.5454545454545454
64,5,11,1,0.24041724002402082,15.0,0.6363636363636364
64,5,12,1,0.243535877481704,7.0,0.6363636363636364
64,5,13,0,0.28066644319773687,2.0,0.6363636363636364
64,5,14,1,0.23622160774629003,8.0,0.5454545454545454
64,5,15,1,0.2424804834499891,15.0,0.5454545454545454
64,5,16,1,0.23480665216506422,3.0,0.5454545454545454
64,5,17,1,0.250571345471594,0.0,0.5454545454545454
64,5,18,1,0.2755925406450237,1.0,0.5454545454545454
64,5,19,1,0.26131530938763325,9.0,0.5454545454545454
64,5,20,1,0.25291399859842895,0.0,0.5454545454545454
64,5,21,0,0.24690110962836717,12.0,0.8181818181818181
64,5,22,1,0.23022094819226188,21.0,0.6363636363636364
64,5,23,1,0.25083883664199413,5.0,0.5454545454545454
64,5,24,0,0.25175208607993704,4.0,0.6363636363636364
64,5,25,1,0.24582685203401544,8.0,0.5454545454545454
64,5,26,1,0.24705799612665064,9.0,0.5454545454545454
64,5,27,1,0.2738044318010878,0.0,0.6363636363636364
64,5,28,1,0.2482465029681485,3.0,0.6363636363636364
64,5,29,1,0.25202979855808816,1.0,0.6363636363636364
64,5,30,0,0.2388635170368684,21.0,0.6363636363636364
64,5,31,0,0.23654645466514887,3.0,0.6363636363636364
64,5,32,1,0.2910595650032484,2.0,0.6363636363636364
64,5,33,1,0.23823172744001536,,0.5454545454545454
64,5,34,0,0.2733553021720654,0.0,0.5454545454545454
64,6,0,1,0.26628505881590214,8.0,0.5454545454545454
64,6,1,1,0.24571474981359315,10.0,0.5454545454545454
64,6,2,1,0.29408804358418733,4.0,0.7272727272727273
64,6,3,1,0.24952361245852883,9.0,0.5454545454545454
64,6,4,1,0.2699642858849995,4.0,0.6363636363636364
64,6,5,1,0.2356128096915749,17.0,0.6363636363636364
64,6,6,1,0.23833588638133596,19.0,0.5454545454545454
64,6,7,1,0.2594469488767758,13.0,0.5454545454545454
64,6,8,0,0.2730401736503064,11.0,0.6363636363636364
